row_label_raw,row_label_full,Bà Đỗ Thị Định,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Phó Tổng Giám đốc,
Bà Nguyễn Thị Thanh Ngọc,Bà Nguyễn Thị Thanh Ngọc,Bà Nguyễn Thị Thanh Ngọc,Phó Tổng Giám đốc,
Ông Phan Ích Long,Ông Phan Ích Long,Ông Phan Ích Long,Phó Tổng Giám đốc (bổ nhiệm ngày 18 tháng 5 năm 2023),
Bà Hoàng Thị Thanh Hải,Bà Hoàng Thị Thanh Hải,Bà Hoàng Thị Thanh Hải,Phó Tổng Giám đốc (bổ nhiệm ngày 08 tháng 3 năm 2023)(miễn nhiệm ngày 01 tháng 7 năm 2023),
Ông Bùi Văn Tư,Ông Bùi Văn Tư,Ông Bùi Văn Tư,Phó Tổng Giám đốc (miễn nhiệm ngày 08 tháng 3 năm 2023),
