row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phàinộp/phải thutrong nămVND,Số đã thựcnộp/bù trừtrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phàinộp/phải thutrong nămVND,numeric__Số đã thựcnộp/bù trừtrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanhnghiệp tạm nộp,a. Các khoản phải thu > Thuế thu nhập doanhnghiệp tạm nộp,Thuế thu nhập doanhnghiệp tạm nộp,42.639.743,-,-,42.639.743,42639743.0,,,42639743.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,763.676.377,763.676.377,-,-,763676377.0,763676377.0,,
,,,806.316.120,763.676.377,-,42.639.743,806316120.0,763676377.0,,42639743.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải nộp > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,18.077.473.679,12.986.947.105,28.855.528.127,2.208.892.657,18077473679.0,12986947105.0,28855528127.0,2208892657.0
Thuế thu nhập doanhnghiệp,b. Các khoản phải nộp > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,31.633.760.154,10.226.520.507,31.702.462.342,10.157.818.319,31633760154.0,10226520507.0,31702462342.0,10157818319.0
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.273.474.815,9.197.629.330,8.901.298.196,2.569.805.949,2273474815.0,9197629330.0,8901298196.0,2569805949.0
Các loại thuế khác,b. Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,1.826.340.706,1.826.340.706,-,,1826340706.0,1826340706.0,
,,,51.984.708.648,34.237.437.648,71.285.629.371,14.936.516.925,51984708648.0,34237437648.0,71285629371.0,14936516925.0
