row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phần số hữu,Tỷ lệ quyền biểu quyết nấm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần số hữu,numeric__Tỷ lệ quyền biểu quyết nấm giữ,numeric__Hoạt động chính
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty con trực tiếp > Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát,"Tầng 11, tòa nhà Sunshine Center, 16 Phạm Hùng, phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","100,00%","100,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,1.0,1.0,
Công ty Cổ phần Đầu Tư Xây Dụng Xuân La,Công ty con trực tiếp > Công ty Cổ phần Đầu Tư Xây Dụng Xuân La,Công ty Cổ phần Đầu Tư Xây Dụng Xuân La,"Tầng 4, tòa nhà Sunshine Center, 16 Phạm Hùng, phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","97,00%","97,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.97,0.97,
Công ty Cổ phần Sao Ánh Dương,Công ty con trực tiếp > Công ty Cổ phần Sao Ánh Dương,Công ty Cổ phần Sao Ánh Dương,"Số 50A, ngách 6/6, ngõ 6 phố Đội Nhân, phường Cống Vi, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","51,30%","51,30%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.513,0.513,
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,
Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),Công ty con gián tiếp > Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),Công ty Cổ phần Đầu tư Xây dựng Xuân Đình (thông qua Công ty TNHH Đầu tư Nhà Hưng Thịnh Phát),"Tầng 9, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","94,00%","94,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.94,0.94,
Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,
Công ty Cổ phần Sunshine Tây Hồ,Công ty liên kết trực tiếp > Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,"Tầng 12, tòa nhà Sunshine Center, 16 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","45,00%","45,00%","Đầu tư, xây dựng và kinh doanh bất động sản",,0.45,0.45,
Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,Công ty liên kết gián tiếp,,,,
Công ty Cổ phần Thiên Hải (thông qua Công ty Cổ phần Sao Ánh Dương),Công ty liên kết gián tiếp > Công ty Cổ phần Thiên Hải (thông qua Công ty Cổ phần Sao Ánh Dương),Công ty Cổ phần Thiên Hải (thông qua Công ty Cổ phần Sao Ánh Dương),"257 Đường 19/4 Phường Xuân An, Thành phố Phan Thiết, Tĩnh Bình Thuận, Việt Nam","21,18%","41,29%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chú sở hữu hoặc đi thuê",,0.2118,0.4129,
