row_label_raw,row_label_full,Số dư cuối năm với các bên liên quan,31/12/2025Triệu VND > Phải thu/(phải trả),31/12/2024Triệu VND > Phải thu/(phải trả),numeric__31/12/2025Triệu VND > Phải thu/(phải trả),numeric__31/12/2024Triệu VND > Phải thu/(phải trả)
Các công ty con,Các công ty con,Các công ty con,,,,
Vốn góp,Các công ty con > Vốn góp,Vốn góp,4.093.172,4.093.172,4093172.0,4093172.0
Cho vay,Các công ty con > Cho vay,Cho vay,6.040.000,4.500.000,6040000.0,4500000.0
Tiền gửi,Các công ty con > Tiền gửi,Tiền gửi,266.934,249.150,266934.0,249150.0
Nhận tiền gửi,Các công ty con > Nhận tiền gửi,Nhận tiền gửi,(4.454.905),(3.070.508),-4454905.0,-3070508.0
Phải thu khác,Các công ty con > Phải thu khác,Phải thu khác,110.400,92.719,110400.0,92719.0
Phải trả khác,Các công ty con > Phải trả khác,Phải trả khác,(24.170),(33.078),-24170.0,-33078.0
Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,Các Thành viên của Ban lãnh đạo Ngân hàng,,,,
Cho vay,Các Thành viên của Ban lãnh đạo Ngân hàng > Cho vay,Cho vay,15.611,2.169,15611.0,2169.0
Nhận tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Nhận tiền gửi,Nhận tiền gửi,(246.661),(277.253),-246661.0,-277253.0
Chứng chỉ tiền gửi,Các Thành viên của Ban lãnh đạo Ngân hàng > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(300),(1.310),-300.0,-1310.0
Phải thu khác,Các Thành viên của Ban lãnh đạo Ngân hàng > Phải thu khác,Phải thu khác,30,-,30.0,
Phải trả khác,Các Thành viên của Ban lãnh đạo Ngân hàng > Phải trả khác,Phải trả khác,(2.767),(2.393),-2767.0,-2393.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,Các bên liên quan đến các Thành viên của Ban lãnh đạo Ngân hàng,,,,
Cho vay,Cho vay,Cho vay,,,,
- Công ty Cổ phần Hàng Không Tre Việt (*),Cho vay > - Công ty Cổ phần Hàng Không Tre Việt (*),- Công ty Cổ phần Hàng Không Tre Việt (*),-,3.918.953,,3918953.0
- Các bên liên quan khác,Cho vay > - Các bên liên quan khác,- Các bên liên quan khác,34.139,112.554,34139.0,112554.0
Nhận tiền gửi,Cho vay > Nhận tiền gửi,Nhận tiền gửi,(225.572),(262.764),-225572.0,-262764.0
Chứng chỉ tiền gửi,Cho vay > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(21.780),(21.882),-21780.0,-21882.0
Phải thu khác,Cho vay > Phải thu khác,Phải thu khác,96,24.720,96.0,24720.0
Phải trả khác,Cho vay > Phải trả khác,Phải trả khác,(6.598),(5.377),-6598.0,-5377.0
