row_label_raw,row_label_full,col_0,Vốnđiều lệTriệu VND,Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,Thăng dư vốncố phầnTriệu VND,VớnkhácTriệu VND,Quỹdự phòngtài chínhTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹđầu tư pháttriểnTriệu VND,Chênh lệch tỷgiá hối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốnđiều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,numeric__Thăng dư vốncố phầnTriệu VND,numeric__VớnkhácTriệu VND,numeric__Quỹdự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Quỹđầu tư pháttriểnTriệu VND,numeric__Chênh lệch tỷgiá hối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày1 tháng 1 năm 2025,Số dư tại ngày1 tháng 1 năm 2025,Số dư tại ngày1 tháng 1 năm 2025,18.852.157,1.121,1.747.651,653,3.572.354,2.002.740,83.479,118.046,27.712.329,54.090.530,18852157.0,1121.0,1747651.0,653.0,3572354.0,2002740.0,83479.0,118046.0,27712329.0,54090530.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,5.936.586,5.936.586,,,,,,,,,5936586.0,5936586.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,901.449,1.001.610,-,-,(1.903.059),-,,,,,901449.0,1001610.0,,,-1903059.0,
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,(1.102.532),(1.102.532),,,,,,,,,-1102532.0,-1102532.0
Số dư tại ngày31 tháng 12 năm 2025,Số dư tại ngày31 tháng 12 năm 2025,Số dư tại ngày31 tháng 12 năm 2025,18.852.157,1.121,1.747.651,653,4.473.803,3.004.350,83.479,118.046,30.643.324,58.924.584,18852157.0,1121.0,1747651.0,653.0,4473803.0,3004350.0,83479.0,118046.0,30643324.0,58924584.0
Số dư tại ngày 1tháng 1 năm 2024,Số dư tại ngày 1tháng 1 năm 2024,Số dư tại ngày 1tháng 1 năm 2024,18.852.157,1.121,1.747.651,653,2.862.765,1.629.272,83.479,118.046,19.661.838,44.956.982,18852157.0,1121.0,1747651.0,653.0,2862765.0,1629272.0,83479.0,118046.0,19661838.0,44956982.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,10.016.099,10.016.099,,,,,,,,,10016099.0,10016099.0
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,709.589,373.468,-,-,(1.083.057),-,,,,,709589.0,373468.0,,,-1083057.0,
Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),Lợi nhuận thuần trong nămTrích lập các quỹ dự trữ bắtbuộc cho năm trướcTrích lập quỹ khen thưởngvà phúc lợi(Thuyết minh 19(b)(i)),-,-,-,-,-,-,-,-,(882.551),(882.551),,,,,,,,,-882551.0,-882551.0
Số dư tại ngày 31tháng 12 năm 2024,Số dư tại ngày 31tháng 12 năm 2024,Số dư tại ngày 31tháng 12 năm 2024,18.852.157,1.121,1.747.651,653,3.572.354,2.002.740,83.479,118.046,27.712.329,54.090.530,18852157.0,1121.0,1747651.0,653.0,3572354.0,2002740.0,83479.0,118046.0,27712329.0,54090530.0
