row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyểnTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.447.422,3.313.964,812.076,340.302,7.913.764,3447422.0,3313964.0,812076.0,340302.0,7913764.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.081,64.078,13.867,13.559,93.585,2081.0,64078.0,13867.0,13559.0,93585.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),18.843,607.370,-,24.554,650.767,18843.0,607370.0,,24554.0,650767.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(939),(275.639),(2.890),(3.852),(283.320),-939.0,-275639.0,-2890.0,-3852.0,-283320.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.467.407,3.709.773,823.053,374.563,8.374.796,3467407.0,3709773.0,823053.0,374563.0,8374796.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,927.750,2.093.109,500.248,240.648,3.761.755,927750.0,2093109.0,500248.0,240648.0,3761755.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,116.528,431.313,107.900,43.099,698.840,116528.0,431313.0,107900.0,43099.0,698840.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(598),(273.303),(2.890),(3.536),(280.327),-598.0,-273303.0,-2890.0,-3536.0,-280327.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.043.680,2.251.119,605.258,280.211,4.180.268,1043680.0,2251119.0,605258.0,280211.0,4180268.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.519.672,1.220.855,311.828,99.654,4.152.009,2519672.0,1220855.0,311828.0,99654.0,4152009.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.423.727,1.458.654,217.795,94.352,4.194.528,2423727.0,1458654.0,217795.0,94352.0,4194528.0
