row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyểnTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.467.407,3.709.773,823.053,374.563,8.374.796,3467407.0,3709773.0,823053.0,374563.0,8374796.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.842,63.436,58.539,27.331,151.148,1842.0,63436.0,58539.0,27331.0,151148.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),26.708,292.011,28.465,8.182,355.366,26708.0,292011.0,28465.0,8182.0,355366.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(80.010),(51.009),(21.132),(9.376),(161.527),-80010.0,-51009.0,-21132.0,-9376.0,-161527.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.415.947,4.014.211,888.925,400.700,8.719.783,3415947.0,4014211.0,888925.0,400700.0,8719783.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.043.680,2.251.119,605.258,280.211,4.180.268,1043680.0,2251119.0,605258.0,280211.0,4180268.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,114.161,436.357,69.243,36.367,656.128,114161.0,436357.0,69243.0,36367.0,656128.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(24.617),(50.635),(20.173),(8.700),(104.125),-24617.0,-50635.0,-20173.0,-8700.0,-104125.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.133.224,2.636.841,654.328,307.878,4.732.271,1133224.0,2636841.0,654328.0,307878.0,4732271.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.423.727,1.458.654,217.795,94.352,4.194.528,2423727.0,1458654.0,217795.0,94352.0,4194528.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.282.723,1.377.370,234.597,92.822,3.987.512,2282723.0,1377370.0,234597.0,92822.0,3987512.0
