row_label_raw,row_label_full,1,Bảo lãnh vay vốn,33,116.931,136.601,numeric__Bảo lãnh vay vốn,numeric__33,numeric__116.931,numeric__136.601
2,2,2,Cam kết giao dịch hối đoái,33,54.223.854,96.982.516,,33.0,54223854.0,96982516.0
,,,Trong đó:,,,,,,,
,,,• Cam kết mua ngoại tệ,,396.703,2.872.223,,,396703.0,2872223.0
,,,• Cam kết bán ngoại tệ,,266.066,1.060.117,,,266066.0,1060117.0
,,,• Cam kết giao dịch hoán đổi tiền tệ,,53.561.085,93.050.176,,,53561085.0,93050176.0
4,4,4,Cam kết trong nghiệp vụ L/C,33,8.371.153,7.781.071,,33.0,8371153.0,7781071.0
5,5,5,Bảo lãnh khác,33,13.765.761,12.004.614,,33.0,13765761.0,12004614.0
6,6,6,Các cam kết khác,33,38.355,-,,33.0,38355.0,
7,7,7,Lãi cho vay và phí phải thu chưa thu được,34,29.861.586,31.648.837,,34.0,29861586.0,31648837.0
8,8,8,Nợ khó đòi đã xử lý,35,15.823.043,8.851.468,,35.0,15823043.0,8851468.0
9,9,9,Tài sản và chứng từ khác,36,71.559.934,78.459.452,,36.0,71559934.0,78459452.0
