row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025,Phát sinh trong năm > Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộp/cấn trừTriệu VND,Phát sinh trong năm > Số ducuối nămTriệu VND,numeric__Phát sinh trong năm > Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộp/cấn trừTriệu VND,numeric__Phát sinh trong năm > Số ducuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.172.886,1.630.431,(2.707.502),95.815,1172886.0,1630431.0,-2707502.0,95815.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,53.434,897.412,(886.934),63.912,53434.0,897412.0,-886934.0,63912.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,57.725,708.098,(687.218),78.605,57725.0,708098.0,-687218.0,78605.0
,,,1.284.045,3.235.941,(4.281.654),238.332,1284045.0,3235941.0,-4281654.0,238332.0
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộp/cấn trừTriệu VND,Số ducuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,928.006,2.711.288,(2.466.408),1.172.886,928006.0,2711288.0,-2466408.0,1172886.0
Thuế giá trị gia tăng,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,60.313,640.865,(647.744),53.434,60313.0,640865.0,-647744.0,53434.0
Các loại thuế khác,Năm kết thúcngày 31 tháng 12 năm 2024 > Các loại thuế khác,Các loại thuế khác,56.703,626.446,(625.424),57.725,56703.0,626446.0,-625424.0,57725.0
,,,1.045.022,3.978.599,(3.739.576),1.284.045,1045022.0,3978599.0,-3739576.0,1284045.0
