row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ 1 đến 5nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > Tổng cộngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ 1 đến 5nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,7.948.136,-,-,-,-,7.948.136,,,7948136.0,,,,,7948136.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.773.101,-,-,-,-,15.773.101,,,15773101.0,,,,,15773101.0
Tiền gửi và cho vay các TCTDkhác,Tài sản > Tiền gửi và cho vay các TCTDkhác,Tiền gửi và cho vay các TCTDkhác,-,-,87.752.625,1.180.000,3.320.000,-,-,92.252.625,,,87752625.0,1180000.0,3320000.0,,,92252625.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,12.083.032,3.672.447,33.265.751,98.805.778,189.563.182,76.424.992,112.950.024,526.765.206,12083032.0,3672447.0,33265751.0,98805778.0,189563182.0,76424992.0,112950024.0,526765206.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,12.189.518,106.354,12.044.698,35.917.444,38.650.202,98.908.216,,,12189518.0,106354.0,12044698.0,35917444.0,38650202.0,98908216.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,4.189.814,4.189.814,,,,,,,4189814.0,4189814.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,6.302,3.604,73.971,1.335.444,5.713.922,7.133.243,,,6302.0,3604.0,73971.0,1335444.0,5713922.0,7133243.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,2.206.033,-,5.296.447,736.039,2.413.141,2.753.121,87.313,13.492.094,2206033.0,,5296447.0,736039.0,2413141.0,2753121.0,87313.0,13492094.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),14.289.065,3.672.447,162.231.880,100.831.775,207.414.992,116.431.001,161.591.275,766.462.435,14289065.0,3672447.0,162231880.0,100831775.0,207414992.0,116431001.0,161591275.0,766462435.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,1.684,2.249,10.421,39.901,-,54.255,,,1684.0,2249.0,10421.0,39901.0,,54255.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,69.869.519,132.422,403.156,888.592,286.924,71.580.613,,,69869519.0,132422.0,403156.0,888592.0,286924.0,71580613.0
Tiền gửi của khách hàng -Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàng -Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,Tiền gửi của khách hàng -Các công cụ tài chính phải sinhvà các khoản nợ tài chính khác,-,-,199.213.163,120.667.291,234.952.912,6.899.194,8.841,561.741.401,,,199213163.0,120667291.0,234952912.0,6899194.0,8841.0,561741401.0
Phát hành giấy tờ có giáCác khoản nợ khác,Nợ phải trả > Phát hành giấy tờ có giáCác khoản nợ khác,Phát hành giấy tờ có giáCác khoản nợ khác,-,-,54.007,-,-,-,-,54.007,,,54007.0,,,,,54007.0
Phát hành giấy tờ có giáCác khoản nợ khác,Nợ phải trả > Phát hành giấy tờ có giáCác khoản nợ khác,Phát hành giấy tờ có giáCác khoản nợ khác,-,-,5.094.501,203.147,18.818.691,10.827.559,1.809.625,36.753.523,,,5094501.0,203147.0,18818691.0,10827559.0,1809625.0,36753523.0
