row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,5.128.547,-,-,-,-,-,-,5.128.547,,5128547.0,,,,,,,5128547.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.247.930,-,-,-,-,-,15.247.930,,,15247930.0,,,,,,15247930.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,169.524.842,4.585.000,2.060.000,2.095.000,-,-,178.264.842,,,169524842.0,4585000.0,2060000.0,2095000.0,,,178264842.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,234.999,-,-,-,-,-,-,234.999,,234999.0,,,,,,,234999.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,43.480.867,-,178.673.551,381.284.033,614.189,865.523,2.828.747,4.340.876,612.087.786,43480867.0,,178673551.0,381284033.0,614189.0,865523.0,2828747.0,4340876.0,612087786.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,9.678.273,1.349.980,1.353.358,8.197.041,7.363.824,39.884.337,32.390.386,100.217.199,,9678273.0,1349980.0,1353358.0,8197041.0,7363824.0,39884337.0,32390386.0,100217199.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,4.189.814,-,-,-,-,-,-,4.189.814,,4189814.0,,,,,,,4189814.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,6.844.079,-,-,-,-,-,-,6.844.079,,6844079.0,,,,,,,6844079.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.233.921,15.503.805,-,-,-,-,-,-,17.737.726,2233921.0,15503805.0,,,,,,,17737726.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),45.714.788,41.579.517,364.796.303,387.222.391,10.871.230,10.324.347,42.713.084,36.731.262,939.952.922,45714788.0,41579517.0,364796303.0,387222391.0,10871230.0,10324347.0,42713084.0,36731262.0,939952922.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,10.765.879,11.315.686,6.805,13.609,120.212,24.725,22.246.916,,,10765879.0,11315686.0,6805.0,13609.0,120212.0,24725.0,22246916.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,148.530.318,8.848.285,2.092,13.580,-,-,157.394.275,,,148530318.0,8848285.0,2092.0,13580.0,,,157394275.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,203.805.620,122.848.771,148.143.573,125.360.425,12.850.122,5.482,613.013.993,,,203805620.0,122848771.0,148143573.0,125360425.0,12850122.0,5482.0,613013993.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,860.486,3.233.925,19.631.368,15.247.322,211.603,-,39.184.704,,,860486.0,3233925.0,19631368.0,15247322.0,211603.0,,39184704.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,17.868.080,-,-,-,-,-,-,17.868.080,,17868080.0,,,,,,,17868080.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,17.868.080,363.962.303,146.246.667,167.783.838,140.634.936,13.181.937,30.207,849.707.968,,17868080.0,363962303.0,146246667.0,167783838.0,140634936.0,13181937.0,30207.0,849707968.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],45.714.788,23.711.437,834.000,240.975.724,(156.912.608),(130.310.589),29.531.147,36.701.055,90.244.954,45714788.0,23711437.0,834000.0,240975724.0,-156912608.0,-130310589.0,29531147.0,36701055.0,90244954.0
