row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị ghi sốTriệu VND,31/12/2025 > Giá trịhợp lýTriệu VND,31/12/2024 > Giá trị ghi sốTriệu VND,31/12/2024 > Giá trịhợp lýTriệu VND,numeric__31/12/2025 > Giá trị ghi sốTriệu VND,numeric__31/12/2025 > Giá trịhợp lýTriệu VND,numeric__31/12/2024 > Giá trị ghi sốTriệu VND,numeric__31/12/2024 > Giá trịhợp lýTriệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,5.128.547,5.128.547,7.948.136,7.948.136,5128547.0,5128547.0,7948136.0,7948136.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,15.247.930,15.247.930,15.773.101,15.773.101,15247930.0,15247930.0,15773101.0,15773101.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,178.264.842,(*),92.252.625,(*),178264842.0,,92252625.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,234.999,(*),-,(*),234999.0,,,
Cho vay khách hàng – thuần,Tài sản tài chính > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,593.048.795,(*),518.699.691,(*),593048795.0,,518699691.0,
Chứng khoán sẵn sàng để bán – thuần,Tài sản tài chính > Chứng khoán sẵn sàng để bán – thuần,Chứng khoán sẵn sàng để bán – thuần,33.012.995,(*),23.532.890,(*),33012995.0,,23532890.0,
Chứng khoán giữ đến ngày đáo hạn – thuần,Tài sản tài chính > Chứng khoán giữ đến ngày đáo hạn – thuần,Chứng khoán giữ đến ngày đáo hạn – thuần,59.107.682,(*),62.105.338,(*),59107682.0,,62105338.0,
Đầu tư dài hạn khác – thuần,Tài sản tài chính > Đầu tư dài hạn khác – thuần,Đầu tư dài hạn khác – thuần,81.971,(*),82.204,(*),81971.0,,82204.0,
Tài sản tài chính khác – thuần,Tài sản tài chính > Tài sản tài chính khác – thuần,Tài sản tài chính khác – thuần,9.685.876,(*),8.825.271,(*),9685876.0,,8825271.0,
,,,893.813.637,,729.219.256,,893813637.0,,729219256.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả tài chính > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,22.246.916,(*),54.255,(*),22246916.0,,54255.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,157.394.275,(*),71.580.613,(*),157394275.0,,71580613.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,613.013.993,(*),561.741.401,(*),613013993.0,,561741401.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả tài chính > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,(*),54.007,(*),,,54007.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,39.184.704,(*),36.753.523,(*),39184704.0,,36753523.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,13.630.557,(*),11.475.120,(*),13630557.0,,11475120.0,
,,,845.470.445,,681.658.919,,845470445.0,,681658919.0,
