row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Quá hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1 đến3 thángTriệu VND,Trong hạn > Từ trên 3 đến12 thángTriệu VND,Trong hạn > Từ 1 đến 5nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,Trong hạn > Tổng cộngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Quá hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1 đến3 thángTriệu VND,numeric__Trong hạn > Từ trên 3 đến12 thángTriệu VND,numeric__Trong hạn > Từ 1 đến 5nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__Trong hạn > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,5.128.547,-,-,-,-,5.128.547,,,5128547.0,,,,,5128547.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.247.930,-,-,-,-,15.247.930,,,15247930.0,,,,,15247930.0
Tiền gửi và cho vay các TCTDkhác,Tài sản > Tiền gửi và cho vay các TCTDkhác,Tiền gửi và cho vay các TCTDkhác,-,-,169.524.842,4.585.000,4.155.000,-,-,178.264.842,,,169524842.0,4585000.0,4155000.0,,,178264842.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,234.999,-,-,-,-,234.999,,,234999.0,,,,,234999.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,39.034.255,4.446.612,41.933.407,117.997.353,212.745.456,70.070.428,125.860.275,612.087.786,39034255.0,4446612.0,41933407.0,117997353.0,212745456.0,70070428.0,125860275.0,612087786.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,16.241.000,1.358.938,17.000.951,37.729.669,27.886.641,100.217.199,,,16241000.0,1358938.0,17000951.0,37729669.0,27886641.0,100217199.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,4.189.814,4.189.814,,,,,,,4189814.0,4189814.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,2.175.118,3.598,56.098,1.603.548,3.005.717,6.844.079,,,2175118.0,3598.0,56098.0,1603548.0,3005717.0,6844079.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.233.922,-,11.745.801,60.425,1.086.642,2.610.936,-,17.737.726,2233922.0,,11745801.0,60425.0,1086642.0,2610936.0,,17737726.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),41.268.177,4.446.612,262.231.644,124.005.314,235.044.147,112.014.581,160.942.447,939.952.922,41268177.0,4446612.0,262231644.0,124005314.0,235044147.0,112014581.0,160942447.0,939952922.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,10.765.879,11.315.640,20.438,120.235,24.724,22.246.916,,,10765879.0,11315640.0,20438.0,120235.0,24724.0,22246916.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,147.210.066,8.098.663,264.847,1.584.800,235.899,157.394.275,,,147210066.0,8098663.0,264847.0,1584800.0,235899.0,157394275.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,203.805.620,122.848.771,273.503.998,12.850.122,5.482,613.013.993,,,203805620.0,122848771.0,273503998.0,12850122.0,5482.0,613013993.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,258.255,2.144.527,29.951.125,4.581.734,2.249.063,39.184.704,,,258255.0,2144527.0,29951125.0,4581734.0,2249063.0,39184704.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,4.505.845,3.581.360,9.481.334,295.787,3.754,17.868.080,,,4505845.0,3581360.0,9481334.0,295787.0,3754.0,17868080.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,366.545.665,147.988.961,313.221.742,19.432.678,2.518.922,849.707.968,,,366545665.0,147988961.0,313221742.0,19432678.0,2518922.0,849707968.0
Mức chênh thanh khoản ròng[(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng[(3)=(1)-(2)],Mức chênh thanh khoản ròng[(3)=(1)-(2)],41.268.177,4.446.612,(104.314.021),(23.983.647),(78.177.595),92.581.903,158.423.525,90.244.954,41268177.0,4446612.0,-104314021.0,-23983647.0,-78177595.0,92581903.0,158423525.0,90244954.0
