row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Tổng bộ phận đã báo cáo Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Tổng bộ phận đã báo cáo Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,9.663.755(6.707.356),6.891.273(4.217.340),56.163.906(35.692.291),72.718.934(46.616.987),(16.194.451)16.194.451,56.524.483(30.422.536),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,9.663.755(6.707.356),6.891.273(4.217.340),56.163.906(35.692.291),72.718.934(46.616.987),(16.194.451)16.194.451,56.524.483(30.422.536),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.956.399,2.673.933,20.471.615,26.101.947,-,26.101.947,2956399.0,2673933.0,20471615.0,26101947.0,,26101947.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,401.592,314.629,4.251.786,4.968.007,-,4.968.007,401592.0,314629.0,4251786.0,4968007.0,,4968007.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,3.357.991,2.988.562,24.723.401,31.069.954,-,31.069.954,3357991.0,2988562.0,24723401.0,31069954.0,,31069954.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.254.469),(794.197),(10.292.610),(12.341.276),-,(12.341.276),-1254469.0,-794197.0,-10292610.0,-12341276.0,,-12341276.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.103.522,2.194.365,14.430.791,18.728.678,-,18.728.678,2103522.0,2194365.0,14430791.0,18728678.0,,18728678.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(11.188.238),(11.188.238),-,(11.188.238),,,-11188238.0,-11188238.0,,-11188238.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,2.103.522,2.194.365,3.242.553,7.540.440,-,7.540.440,2103522.0,2194365.0,3242553.0,7540440.0,,7540440.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,840.351,617.540,3.670.656,5.128.547,-,5.128.547,840351.0,617540.0,3670656.0,5128547.0,,5128547.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,318.606,354.222,14.575.102,15.247.930,-,15.247.930,318606.0,354222.0,14575102.0,15247930.0,,15247930.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,76.122,-,178.188.720,178.264.842,-,178.264.842,76122.0,,178188720.0,178264842.0,,178264842.0
Cho vay khách hàng – thuần,Tài sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,115.378.042,78.080.698,399.590.055,593.048.795,-,593.048.795,115378042.0,78080698.0,399590055.0,593048795.0,,593048795.0
Chứng khoán đầu tư – thuần,Tài sản > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,-,95.663.546,95.663.546,-,95.663.546,,,95663546.0,95663546.0,,95663546.0
Tài sản Có khác – thuần,Tài sản > Tài sản Có khác – thuần,Tài sản Có khác – thuần,927.401,798.155,20.117.470,21.843.026,(564.134),21.278.892,927401.0,798155.0,20117470.0,21843026.0,-564134.0,21278892.0
TỔNG TÀI SẢN,Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,117.540.522,79.850.615,711.805.549,909.196.686,(564.134),908.632.552,117540522.0,79850615.0,711805549.0,909196686.0,-564134.0,908632552.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,22.246.916,22.246.916,-,22.246.916,,,22246916.0,22246916.0,,22246916.0
