row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Tổng bộ phàndã báo cáoTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Tổng bộ phàndã báo cáoTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,8.554.033(5.657.800),8.449.779(4.703.106),47.497.218(30.165.077),64.501.030(40.525.983),(15.382.913)15.382.913,49.118.117(25.143.070),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,8.554.033(5.657.800),8.449.779(4.703.106),47.497.218(30.165.077),64.501.030(40.525.983),(15.382.913)15.382.913,49.118.117(25.143.070),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.896.233,3.746.673,17.332.141,23.975.047,-,23.975.047,2896233.0,3746673.0,17332141.0,23975047.0,,23975047.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,323.369,220.313,3.564.714,4.108.396,-,4.108.396,323369.0,220313.0,3564714.0,4108396.0,,4108396.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,3.219.602,3.966.986,20.896.855,28.083.443,-,28.083.443,3219602.0,3966986.0,20896855.0,28083443.0,,28083443.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.208.698),(1.026.348),(11.129.851),(13.364.897),-,(13.364.897),-1208698.0,-1026348.0,-11129851.0,-13364897.0,,-13364897.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.010.904,2.940.638,9.767.004,14.718.546,-,14.718.546,2010904.0,2940638.0,9767004.0,14718546.0,,14718546.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(2.159.878),(2.159.878),-,(2.159.878),,,-2159878.0,-2159878.0,,-2159878.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,2.010.904,2.940.638,7.607.126,12.558.668,-,12.558.668,2010904.0,2940638.0,7607126.0,12558668.0,,12558668.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.125.721,1.013.119,5.809.296,7.948.136,-,7.948.136,1125721.0,1013119.0,5809296.0,7948136.0,,7948136.0
