row_label_raw,row_label_full,col_0,Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giám)Triệu VND,numeric__Ảnh hưởng đến lợi nhuận sau thuế Tăng/(giám)Triệu VND
Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,
USD (mạnh lên 3%),Ngày 31 tháng 12 năm 2025 > USD (mạnh lên 3%),USD (mạnh lên 3%),10.961,10961.0
EUR (mạnh lên 16%),Ngày 31 tháng 12 năm 2025 > EUR (mạnh lên 16%),EUR (mạnh lên 16%),8,8.0
SJC (mạnh lên 81%),Ngày 31 tháng 12 năm 2025 > SJC (mạnh lên 81%),SJC (mạnh lên 81%),13.060,13060.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,
USD (mạnh lên 5%),Ngày 31 tháng 12 năm 2024 > USD (mạnh lên 5%),USD (mạnh lên 5%),4.384,4384.0
EUR (yếu đi 1%),Ngày 31 tháng 12 năm 2024 > EUR (yếu đi 1%),EUR (yếu đi 1%),(7),-7.0
SJC (mạnh lên 14%),Ngày 31 tháng 12 năm 2024 > SJC (mạnh lên 14%),SJC (mạnh lên 14%),6.863,6863.0
