row_label_raw,row_label_full,col_0,Khách hàng cá nhân và doanh nghiệp Triệu VND,Hoạt động đầu tư Triệu VND,Hoạt động liên ngân hàng Triệu VND,Hoạt động chung không phân bổ Triệu VND,Tổng cộng Triệu VND,numeric__Khách hàng cá nhân và doanh nghiệp Triệu VND,numeric__Hoạt động đầu tư Triệu VND,numeric__Hoạt động liên ngân hàng Triệu VND,numeric__Hoạt động chung không phân bổ Triệu VND,numeric__Tổng cộng Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,5.128.547,5.128.547,,,,5128547.0,5128547.0
Tiền gửi tại NHNNVN,TÀI SẢN > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,15.247.930,-,15.247.930,,,15247930.0,,15247930.0
Tiền gửi và cho vay các TCTD khác,TÀI SẢN > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,178.264.842,-,178.264.842,,,178264842.0,,178264842.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,234.999,-,234.999,,,234999.0,,234999.0
Cho vay khách hàng – thuần,TÀI SẢN > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,593.048.795,-,-,-,593.048.795,593048795.0,,,,593048795.0
Chứng khoán đầu tư – thuần,TÀI SẢN > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,92.120.677,-,-,92.120.677,,92120677.0,,,92120677.0
"Góp vốn, đầu tư dài hạn – thuần","TÀI SẢN > Góp vốn, đầu tư dài hạn – thuần","Góp vốn, đầu tư dài hạn – thuần",-,3.542.869,-,-,3.542.869,,3542869.0,,,3542869.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,-,-,-,6.844.079,6.844.079,,,,6844079.0,6844079.0
Tài sản Có khác – thuần,TÀI SẢN > Tài sản Có khác – thuần,Tài sản Có khác – thuần,9.128.429,1.983.715,183.923,2.903.747,14.199.814,9128429.0,1983715.0,183923.0,2903747.0,14199814.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,602.177.224,97.647.261,193.931.694,14.876.373,908.632.552,602177224.0,97647261.0,193931694.0,14876373.0,908632552.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,
Các khoản nợ Chính phủ và NHNNVN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,22.246.916,-,22.246.916,,,22246916.0,,22246916.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,157.394.275,-,157.394.275,,,157394275.0,,157394275.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,613.013.993,-,-,-,613.013.993,613013993.0,,,,613013993.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,9.384.704,-,29.800.000,-,39.184.704,9384704.0,,29800000.0,,39184704.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,13.089.617,-,540.940,4.237.523,17.868.080,13089617.0,,540940.0,4237523.0,17868080.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,635.488.314,-,209.982.131,4.237.523,849.707.968,635488314.0,,209982131.0,4237523.0,849707968.0
