row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5nămTriệu VND,Tại ngày 31 tháng 12 năm 2025 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 3 đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 6 đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Từ trên 1 đến 5nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2025 > Trên 5 nămTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,,,
- VND,Tiền gửi tại NHNNVN > - VND,- VND,N/A,N/A,"0,5%",N/A,N/A,N/A,N/A,N/A,,,0.005,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,,,,,,,,
- VND,- VND,- VND,N/A,N/A,0%-10%,"6,3%-6,5%","5,9%-7,5%","7,3%-7,6%",N/A,N/A,,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,"0%-4,2%",N/A,N/A,N/A,N/A,N/A,,,,,,,,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,,,,,,,,
- VND,- VND,- VND,"3,5%-33,2%",N/A,"2,5%-33,2%",1%-18%,"4,2% - 16,8%","1,16%-16.8%","1,2%-18%","1,16%-15,6%",,,,,,,,
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,"5,5%-6,2%",N/A,"2,9%-7,5%","2,9%-7,5%",N/A,N/A,N/A,N/A,,,,,,,,
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,,,,,,,,
- VND,- VND,- VND,N/A,N/A,"1%-8,8%","5,8%-6,9%","1,1%-5.5%","0,8%-6,9%","1,1%-8,9%","1,5%-8,8%",,,,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,,,,,,,,,,,,,,,,
- VND,Các khoản nợ Chính phủ và NHNNVN > - VND,- VND,N/A,N/A,"2,2%-4,5%","2,2%-4,5%","2,2%","2,2%","2,2%","2,2%",,,,,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002
- Ngoại tệ,- Ngoại tệ,- Ngoại tệ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,
- VND,- VND,- VND,N/A,N/A,"3,84%-6,1%","3,84%-6,1%",N/A,N/A,N/A,N/A,,,,,,,,
