row_label_raw,row_label_full,col_0,31.12.2022VND,01.01.2022VND,numeric__31.12.2022VND,numeric__01.01.2022VND
Bên liên quan,Bên liên quan,Bên liên quan,425.436.098.271,396.587.100.258,425436098271.0,396587100258.0
Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,204.674.011.147,161.649.663.847,204674011147.0,161649663847.0
Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,Công ty Cổ phần Xây dựng Đèo Cả,116.695.539.018,-,116695539018.0,
Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,Công ty Cổ phần Phước Tượng Phú Gia BOT,37.201.806.556,52.007.261.820,37201806556.0,52007261820.0
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn,31.279.173.157,26.681.428.257,31279173157.0,26681428257.0
Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,Công ty Cổ phần BOT Trung Lương - Mỹ Thuận,22.098.459.698,270.000.000,22098459698.0,270000000.0
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,13.361.179.695,8.018.141.334,13361179695.0,8018141334.0
Công ty Cổ phần Quản lý và Khai thác đường cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác đường cao tốc Đèo Cả,Công ty Cổ phần Quản lý và Khai thác đường cao tốc Đèo Cả,125.929.000,-,125929000.0,
Công ty Cổ phần tập đoàn Đèo Cả,Công ty Cổ phần tập đoàn Đèo Cả,Công ty Cổ phần tập đoàn Đèo Cả,-,140.481.698.327,,140481698327.0
Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,-,6.656.906.673,,6656906673.0
Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,Công ty Cổ phần Tư vấn Xây dựng Hoàng Long,-,822.000.000,,822000000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,40.726.883.778,231.336.580.340,40726883778.0,231336580340.0
Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,Công ty Cổ phần Tư vấn xây dựng A2Z,6.966.815.764,-,6966815764.0,
Công ty Cổ phần xây dựng Cầu dưỡng 19,Công ty Cổ phần xây dựng Cầu dưỡng 19,Công ty Cổ phần xây dựng Cầu dưỡng 19,5.159.490.529,5.159.490.529,5159490529.0,5159490529.0
Công ty Cổ phần Sống Đà 10,Công ty Cổ phần Sống Đà 10,Công ty Cổ phần Sống Đà 10,5.082.418.376,5.082.418.376,5082418376.0,5082418376.0
Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,3.399.652.533,3.399.652.533,3399652533.0,3399652533.0
Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,Công ty Cổ phần Quản lý và Sửa chữa đường bộ Đắc Lắc,1.342.200.000,-,1342200000.0,
Công ty Cổ phần Xây dựng Đèo cả,Công ty Cổ phần Xây dựng Đèo cả,Công ty Cổ phần Xây dựng Đèo cả,-,177.848.367.430,,177848367430.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,18.776.306.576,39.846.651.472,18776306576.0,39846651472.0
Cộng,Cộng,Cộng,466.162.982.049,627.923.680.598,466162982049.0,627923680598.0
