row_label_raw,row_label_full,col_0,Thu phí trạmBOTVND,Hoạt động xâylắpVND,Dịch vựtrungchuyểnVND,"Hoạt động duytu bảo dưỡng,hầmVND",Hoạt độngkhácVND,Tổng cộngVND,numeric__Thu phí trạmBOTVND,numeric__Hoạt động xâylắpVND,numeric__Dịch vựtrungchuyểnVND,"numeric__Hoạt động duytu bảo dưỡng,hầmVND",numeric__Hoạt độngkhácVND,numeric__Tổng cộngVND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,59.704.736.459,634.211.145.006,8.702.727.273,253.706.355.450,24.945.447.258,981.270.411.446,59704736459.0,634211145006.0,8702727273.0,253706355450.0,24945447258.0,981270411446.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,59.704.736.459,634.211.145.006,8.702.727.273,253.706.355.450,24.945.447.258,981.270.411.446,59704736459.0,634211145006.0,8702727273.0,253706355450.0,24945447258.0,981270411446.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,12.663.645.231,110.624.487.898,119.434.872,130.614.100.432,11.666.552.193,265.688.220.626(24.751.225.674),12663645231.0,110624487898.0,119434872.0,130614100432.0,11666552193.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,240.936.994.952,,,,,,240936994952.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,43.785.550.733(25.944.130.547),,,,,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,21.169.887.644(53.326.772),,,,,,
Chi phí tài chính,Doanh thu hoạt động tài chính > Chi phí tài chính,Chi phí tài chính,,,,,,(50.178.806.699),,,,,,-50178806699.0
Thu nhập khác,Doanh thu hoạt động tài chính > Thu nhập khác,Thu nhập khác,,,,,,229.716.169.311,,,,,,229716169311.0
Chi phí khác,Doanh thu hoạt động tài chính > Chi phí khác,Chi phí khác,,,,,,(8.476.213.317),,,,,,-8476213317.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu hoạt động tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(6.003.570.483),,,,,,-6003570483.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,,,,,
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
