row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2022VND,2021VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG KINH DOANH,,,,
01,Mãsố > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,200.521.904.428,279.894.976.010,,,200521904428.0,279894976010.0
02,Mãsố > 02,02,Khấu hao tài sản cố định,,9.905.588.890,6.003.570.483,,,9905588890.0,6003570483.0
03,Mãsố > 03,03,Các khoản dự phòng,,-,(161.854.500),,,,-161854500.0
05,Mãsố > 05,05,Lãi từ hoạt động đầu tư,,(32.179.666.503),(62.602.141.115),,,-32179666503.0,-62602141115.0
06,Mãsố > 06,06,Chi phí lãi vay,,37.430.439.357,25.944.130.547,,,37430439357.0,25944130547.0
08,Mãsố > 08,08,Lợi nhuận từ hoạt động kinhdoanh trước những thay đốivốn lưu động,,215.678.266.172,249.078.681.425,,,215678266172.0,249078681425.0
09,Mãsố > 09,09,Tăng các khoản phải thu,,(90.702.128.354),(356.584.145.331),,,-90702128354.0,-356584145331.0
10,Mãsố > 10,10,(Tăng)/giảm hàng tồn kho,,(116.686.723.299),50.694.026.081,,,-116686723299.0,50694026081.0
11,Mãsố > 11,11,"Tăng/(giảm) các khoản phải trả[không kể lãi vay phải trả, thuếTNDN phải nộp]",,54.405.440.844,(38.945.309.606),,,54405440844.0,-38945309606.0
12,Mãsố > 12,12,(Tăng)/giảm chi phí trả trước,,(3.622.523.851),1.160.304.511,,,-3622523851.0,1160304511.0
14,Mãsố > 14,14,Tiền lãi vay đã trả,,(15.995.736.541),(6.239.473.366),,,-15995736541.0,-6239473366.0
15,Mãsố > 15,15,Thuế thu nhập doanh nghiệp đãnộp,,(36.138.362.996),(17.553.062.468),,,-36138362996.0,-17553062468.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần từhoạt động kinh doanh,,6.938.231.975,(118.388.978.754),,,6938231975.0,-118388978754.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG ĐẦU TƯ,,,,
21,Mãsố > 21,21,"Chi để mua sắm, xây dựngTSCĐ và các tài sản dài hạnkhác",,(76.001.138.529),(8.476.213.317),,,-76001138529.0,-8476213317.0
22,Mãsố > 22,22,"Thu từ thanh lý, nhượng bánTSCĐ và tài sản dài hạn khác",,-,33.891.818.182,,,,33891818182.0
23,Mãsố > 23,23,"Chi cho vay, mua các công cụnợ của đơn vị khác",,-,(1.000.000.000),,,,-1000000000.0
25,Mãsố > 25,25,Chi đầu tư góp vốn vào đơn vịkhác,,(164.554.130.000),(33.200.000.000),,,-164554130000.0,-33200000000.0
27,Mãsố > 27,27,"Thu lãi cho vay, cổ tức và lợinhuyện được chia",,32.070.187.050,43.785.550.733,,,32070187050.0,43785550733.0
30,Mãsố > 30,30,Lưu chuyển tiền thuần từhoạt động đầu tư,,(208.485.081.479),35.001.155.598,,,-208485081479.0,35001155598.0
