row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2022VND,2021VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTDỘNG TÀI CHÍNH,,,,,,,
31,Mãsố > 31,31,"Thu từ phát hành cổ phiếu, nhậnvốn góp của chủ sở hữu",,403.873.700.000,-,,,403873700000.0,
33,Mãsố > 33,33,"Thu từ vay ngắn hạn, dài hạn",,477.926.519.071,623.680.011.240,,,477926519071.0,623680011240.0
34,Mãsố > 34,34,Chỉ trả nợ gốc vay,,(573.980.304.573),(605.426.030.064),,,-573980304573.0,-605426030064.0
40,Mãsố > 40,40,Lưu chuyển thuần từ hoạt độngtài chính,,307.819.914.498,18.253.981.176,,,307819914498.0,18253981176.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,106.273.064.994,(65.133.841.980),,,106273064994.0,-65133841980.0
60,Mãsố > 60,60,Tiền và các khoản tương đươngtiền đầu năm,V.1,11.600.983.258,76.734.825.238,,,11600983258.0,76734825238.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hốidoái quy đổi ngoại tệ,,-,-,,,,
70,61 > 70,70,Tiền và các khoản tương đươngtiền cuối năm,V.1,117.874.048.252,11.600.983.258,,,117874048252.0,11600983258.0
