row_label_raw,row_label_full,+ Vốn tự có:,1.749.864.583.000 VND,numeric__1.749.864.583.000 VND
+ Vốn khác:,+ Vốn khác:,+ Vốn khác:,1.438.432.378.000 VND,
+ Vốn vay,+ Vốn vay,+ Vốn vay,13.375.708.235.000 VND,
+ Vốn Nhà nước hỗ trợ,+ Vốn Nhà nước hỗ trợ,+ Vốn Nhà nước hỗ trợ,5.048.002.979.000 VND,
Tổng,Tổng,Tổng,21.612.008.175.000 VND,
