row_label_raw,row_label_full,col_0,col_1,Bổ nhiệm,Miễn nhiệm,numeric__col_1,numeric__Bổ nhiệm,numeric__Miễn nhiệm
Ông Hồ Minh Hoàng,Ông Hồ Minh Hoàng,Ông Hồ Minh Hoàng,Chủ tịch,08/08/2019,,,,
Ông Nguyễn Tấn Đông,Ông Nguyễn Tấn Đông,Ông Nguyễn Tấn Đông,Phó Chủ tịch,08/08/2019,,,,
Ông Trần Văn Thế,Ông Trần Văn Thế,Ông Trần Văn Thế,Phó Chủ tịch,05/04/2019,24/04/2022,,,
Ông Nguyễn Hữu Hùng,Ông Nguyễn Hữu Hùng,Ông Nguyễn Hữu Hùng,Phó Chủ tịch,29/04/2022,,,,
,,,Thành viên,24/04/2022,,,,
Ông Võ Thụy Linh,Ông Võ Thụy Linh,Ông Võ Thụy Linh,Thành viên,21/07/2015,,,,
Ông Trần Chùng,Ông Trần Chùng,Ông Trần Chùng,Thành viên,17/06/2020,,,,
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Thành viên,01/11/2021,,,,
Ông Hoàng Văn Hải,Ông Hoàng Văn Hải,Ông Hoàng Văn Hải,Thành viên độc lập,17/06/2020,,,,
Ông Hà Huy Hùng,Ông Hà Huy Hùng,Ông Hà Huy Hùng,Thành viên độc lập,01/11/2021,24/04/2022,,,
Ông Hồ Quang Lợi,Ông Hồ Quang Lợi,Ông Hồ Quang Lợi,Thành viên độc lập,24/04/2022,,,,
