row_label_raw,row_label_full,Mãsố,TÀI SẢN,Thuyếtminh,Tại ngày,Tại ngày_1,numeric__TÀI SẢN,numeric__Thuyếtminh,numeric__Tại ngày,numeric__Tại ngày_1
Mãsố,Mãsố,Mãsố,TÀI SẢN,Thuyếtminh,31.12.2022VND,01.01.2022VND,,,,
100,Mãsố > 100,100,TÀI SẢN NGẮN HẠN,,887.896.441.449,838.451.206.123,,,887896441449.0,838451206123.0
110,Mãsố > 110,110,Tiền và các khoản tương đương tiền,V.1,117.874.048.252,11.600.983.258,,,117874048252.0,11600983258.0
111,Mãsố > 111,111,Tiền,,62.860.003.473,8.100.983.258,,,62860003473.0,8100983258.0
112,Mãsố > 112,112,Các khoản tương đương tiền,,55.014.044.779,3.500.000.000,,,55014044779.0,3500000000.0
130,Mãsố > 130,130,Các khoản phải thu ngắn hạn,,607.950.451.806,782.361.201.522,,,607950451806.0,782361201522.0
131,Mãsố > 131,131,Phải thu ngắn hạn của khách hàng,V.3,466.162.982.049,627.923.680.598,,,466162982049.0,627923680598.0
132,Mãsố > 132,132,Trả trước cho người bán ngắn hạn,V.4,33.422.245.873,11.029.529.737,,,33422245873.0,11029529737.0
135,Mãsố > 135,135,Phải thu về cho vay ngắn hạn,V.5,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
136,Mãsố > 136,136,Phải thu ngắn hạn khác,V.6a,120.575.770.615,155.618.537.918,,,120575770615.0,155618537918.0
137,Mãsố > 137,137,Dự phòng phải thu ngắn hạn khó đòi,V.7,(13.210.546.731),(13.210.546.731),,,-13210546731.0,-13210546731.0
140,Mãsố > 140,140,Hàng tồn kho,,160.745.755.816,44.059.032.517,,,160745755816.0,44059032517.0
141,Mãsố > 141,141,Hàng tồn kho,V.8,160.745.755.816,44.059.032.517,,,160745755816.0,44059032517.0
150,Mãsố > 150,150,Tài sản ngắn hạn khác,,1.326.185.575,429.988.826,,,1326185575.0,429988826.0
151,Mãsố > 151,151,Chi phí trả trước ngắn hạn,V.9a,1.326.185.575,429.988.826,,,1326185575.0,429988826.0
