row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 01.01.2021,Tại ngày 01.01.2021,Tại ngày 01.01.2021,2.673.840.900.000,(208.000.000),4.851.321.687,61.330.724.488,2.739.814.946.175,2673840900000.0,-208000000.0,4851321687.0,61330724488.0,2739814946175.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,229.716.169.311,229.716.169.311,,,,229716169311.0,229716169311.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,,,,,
Tại ngày 31.12.2021,Tăng khác > Tại ngày 31.12.2021,Tại ngày 31.12.2021,2.673.840.900.000,(208.000.000),4.851.321.687,291.046.893.799,2.969.531.115.486,2673840900000.0,-208000000.0,4851321687.0,291046893799.0,2969531115486.0
Tăng vốn trong năm (1),Tăng khác > Tăng vốn trong năm (1),Tăng vốn trong năm (1),404.203.600.000,(329.900.000),-,-,403.873.700.000,404203600000.0,-329900000.0,,,403873700000.0
Lợi nhuận trong năm,Tăng khác > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,167.397.269.868,167.397.269.868,,,,167397269868.0,167397269868.0
Trả thù lao cho HĐQT và BKS (2),Tăng khác > Trả thù lao cho HĐQT và BKS (2),Trả thù lao cho HĐQT và BKS (2),-,-,-,(1.907.000.000),(1.907.000.000),,,,-1907000000.0,-1907000000.0
Trích quỹ Đầu tư phát triển (3),Tăng khác > Trích quỹ Đầu tư phát triển (3),Trích quỹ Đầu tư phát triển (3),-,-,2.297.161.693,(2.297.161.693),-,,,2297161693.0,-2297161693.0,
Tại ngày 31.12.2022,Tăng khác > Tại ngày 31.12.2022,Tại ngày 31.12.2022,3.078.044.500.000,(537.900.000),7.148.483.380,454.240.001.974,3.538.895.085.354,3078044500000.0,-537900000.0,7148483380.0,454240001974.0,3538895085354.0
