row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Tại ngày 01 tháng 01 năm 2022,NGUYÊN GIÁ > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,618.292.634,45.000.000,-,663.292.634,618292634.0,45000000.0,,663292634.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,55.000.000,-,55.000.000,,55000000.0,,55000000.0
Tại ngày 31 tháng 12 năm 2022,NGUYÊN GIÁ > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,618.292.634,100.000.000,-,718.292.634,618292634.0,100000000.0,,718292634.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Tại ngày 01 tháng 01 năm 2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,64.441.225,45.000.000,-,109.441.225,64441225.0,45000000.0,,109441225.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,12.881.088,916.667,-,13.797.755,12881088.0,916667.0,,13797755.0
Tại ngày 31 tháng 12 năm 2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,77.322.313,45.916.667,-,123.238.980,77322313.0,45916667.0,,123238980.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày 01 tháng 01 năm 2022,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,553.851.409,-,-,553.851.409,553851409.0,,,553851409.0
Tại ngày 31 tháng 12 năm 2022,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,540.970.321,54.083.333,-,595.053.654,540970321.0,54083333.0,,595053654.0
