row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Từ 01 năm trở xuống VND > Tại ngày 31 tháng 12 năm 2022,Trên 01 đến 05 năm VND > Tại ngày 31 tháng 12 năm 2022,Trên 05 năm VND > Tại ngày 31 tháng 12 năm 2022,Cộng VND > Tại ngày 31 tháng 12 năm 2022,numeric__Từ 01 năm trở xuống VND > Tại ngày 31 tháng 12 năm 2022,numeric__Trên 01 đến 05 năm VND > Tại ngày 31 tháng 12 năm 2022,numeric__Trên 05 năm VND > Tại ngày 31 tháng 12 năm 2022,numeric__Cộng VND > Tại ngày 31 tháng 12 năm 2022
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,192.638.164.185,-,-,192.638.164.185,192638164185.0,,,192638164185.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,111.933.245.928,-,-,111.933.245.928,111933245928.0,,,111933245928.0
Vay và nợ,Vay và nợ,Vay và nợ,228.194.704.822,100.589.458.718,26.730.660.276,355.514.823.816,228194704822.0,100589458718.0,26730660276.0,355514823816.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,25.498.530.509,-,-,25.498.530.509,25498530509.0,,,25498530509.0
Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,126.812.449.507,3.300.000.000,5.500.000.000,135.612.449.507,126812449507.0,3300000000.0,5500000000.0,135612449507.0
Cộng,Cộng,Cộng,685.077.094.951,103.889.458.718,32.230.660.276,821.197.213.945,685077094951.0,103889458718.0,32230660276.0,821197213945.0
