row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày > 31.12.2022 VND,Tại ngày > 01.01.2022 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2022 VND,numeric__Tại ngày > 01.01.2022 VND
300,300,300,NỘ PHẢI TRẢ,,822.811.510.664,844.131.880.942,,,822811510664.0,844131880942.0
310,310,310,Nợ ngắn hạn,,686.691.391.670,625.822.930.942,,,686691391670.0,625822930942.0
311,311,311,Phải trả người bán ngắn hạn,V.13,192.638.164.185,230.529.989.839,,,192638164185.0,230529989839.0
312,312,312,Người mua trả tiền trước ngắn hạn,V.14,111.933.245.928,7.648.775.163,,,111933245928.0,7648775163.0
313,313,313,Thuế và các khoản phải nộp ngân sách Nhà nước,V.15,38.452.641.616,42.260.801.005,,,38452641616.0,42260801005.0
314,314,314,Phải trả người lao động,,10.890.666.246,8.197.991.848,,,10890666246.0,8197991848.0
315,315,315,Chi phí phải trả ngắn hạn,V.16,25.498.530.509,48.101.149.844,,,25498530509.0,48101149844.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,V.17a,1.100.000.000,-,,,1100000000.0,
319,319,319,Phải trả ngắn hạn khác,V18,76.369.141.645,54.080.267.206,,,76369141645.0,54080267206.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,V.19a,228.194.704.822,233.259.659.318,,,228194704822.0,233259659318.0
322,322,322,"Quỹ khen thưởng, phúc lợi",,1.614.296.719,1.744.296.719,,,1614296719.0,1744296719.0
330,330,330,Nợ dài hạn,,136.120.118.994,218.308.950.000,,,136120118994.0,218308950000.0
336,336,336,Doanh thu chưa thực hiện dài hạn,V.17b,8.800.000.000,-,,,8800000000.0,
338,338,338,Vay và nợ thuê tài chính dài hạn,V.19b,127.320.118.994,218.308.950.000,,,127320118994.0,218308950000.0
