row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2022VND,2021VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,953.233.198.971,981.270.411.446,953233198971.0,981270411446.0
Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,536.498.691.178,634.211.145.006,536498691178.0,634211145006.0
"Doanh thu hoạt động duy tu bảo dưỡng hầm,đường","Doanh thu hoạt động duy tu bảo dưỡng hầm,đường","Doanh thu hoạt động duy tu bảo dưỡng hầm,đường",319.149.947.284,253.706.355.450,319149947284.0,253706355450.0
Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,73.032.256.557,59.704.736.459,73032256557.0,59704736459.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,17.921.779.967,8.702.727.273,17921779967.0,8702727273.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,6.630.523.985,24.945.447.258,6630523985.0,24945447258.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,953.233.198.971,981.270.411.446,953233198971.0,981270411446.0
Trong đó doanh thu đối với các bên liênquan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liênquan,Trong đó doanh thu đối với các bên liênquan,567.262.814.714,704.811.511.042,567262814714.0,704811511042.0
"Doanh thu hoạt động duy tu bảo dưỡng hầm,đường","Các khoản giảm trừ doanh thu > Doanh thu hoạt động duy tu bảo dưỡng hầm,đường","Doanh thu hoạt động duy tu bảo dưỡng hầm,đường",307.775.869.506,253.706.355.450,307775869506.0,253706355450.0
Doanh thu hoạt động xây lắp,Các khoản giảm trừ doanh thu > Doanh thu hoạt động xây lắp,Doanh thu hoạt động xây lắp,185.819.624.118,380.186.811.511,185819624118.0,380186811511.0
Doanh thu vận hành các trạm thu phí,Các khoản giảm trừ doanh thu > Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,72.003.764.325,59.704.736.459,72003764325.0,59704736459.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,1.663.556.765,11.213.607.622,1663556765.0,11213607622.0
