row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2022VND,2021VND,,
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,14.410.037.498,10.281.685.646,14410037498.0,10281685646.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,2.598.150.836,3.419.181.602,2598150836.0,3419181602.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,491.542.330,885.408.729,491542330.0,885408729.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",57.634.468,81.457.207,57634468.0,81457207.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",4.000.000,3.000.000,4000000.0,3000000.0
"Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu","Chi phí nguyên, vật liệu",13.072.727,23.282.286,13072727.0,23282286.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,-,(161.854.500),,-161854500.0
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,11.949.898.494,10.219.064.704,11949898494.0,10219064704.0
Cộng,Cộng,Cộng,29.524.336.353,24.751.225.674,29524336353.0,24751225674.0
