row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Bò Sửa Việt Nam,Mối quan hệ > Công ty con,Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định,2020 VND > 1.583.122.407.300 > 160.800.000,2019 VND > 1.495.849.392.031 > 1.069.757.134,numeric__Mối quan hệ > Công ty con,numeric__Loại giao dịch > Mua hàng hóa và dịch vụ > Bán tài sản cố định,numeric__2020 VND > 1.583.122.407.300 > 160.800.000,numeric__2019 VND > 1.495.849.392.031 > 1.069.757.134
Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Mua hàng hóa,540.710.334.200,285.074.050.500,,,540710334200.0,285074050500.0
Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Góp vốn,65.000.000.000,260.000.000.000,,,65000000000.0,260000000000.0
Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty TNHH Một Thành Viên Bò Sửa Thống Nhất Thanh Hóa,Công ty con,Bán tài sản cố định,-,43.636.363,,,,43636363.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Mua hàng hóa,15.944.261.000,19.033.269.600,,,15944261000.0,19033269600.0
Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty Cổ phần Đường Việt Nam,Công ty con,Bán tài sản cố định,-,209.000.000,,,,209000000.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Mua hàng hóa,-,108.683.092.336,,,,108683092336.0
"Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.","Angkor Dairy Products Co., Ltd.",Công ty con,Bán tài sản cố định,57.001.849.566,123.726.495,,,57001849566.0,123726495.0
"Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.","Lao-Jagro Development Xiengkhouang Co., Ltd.",Công ty con,Góp vốn,441.569.823.988,334.836.789.600,,,441569823988.0,334836789600.0
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Công ty con,Mua hàng hóa,360.518.145.708,366.264.739.197,,,360518145708.0,366264739197.0
Driftwood Dairy Holding Corporation,Driftwood Dairy Holding Corporation,Driftwood Dairy Holding Corporation,Công ty con,Góp vốn,-,232.500.000.000,,,,232500000000.0
Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty Cổ phần Giống Bò sữa Mộc Châu,Công ty con,Mua hàng hóa,206.311.293.766,-,,,206311293766.0,
Miraka Holdings Limited,Miraka Holdings Limited,Miraka Holdings Limited,Công ty liên kết,Mua hàng hóa,325.836.306.170,71.979.909.120,,,325836306170.0,71979909120.0
Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty Cổ phần APIS,Công ty liên kết,Mua hàng hóa và dịch vụ,77.113.561.028,86.589.779.905,,,77113561028.0,86589779905.0
Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty Cổ phần Chế Biến Dừa Á Châu,Công ty liên kết,Mua dịch vụ,24.243.112.320,14.275.545.286,,,24243112320.0,14275545286.0
