row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.351.218.754.150,12.910.856.813.644,937.606.636.520,625.095.424.871,16.824.777.629.185,2351218754150.0,12910856813644.0,937606636520.0,625095424871.0,16824777629185.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,27.197.144.678,151.330.237.965,33.521.190.593,16.805.997.874,228.854.571.110,27197144678.0,151330237965.0,33521190593.0,16805997874.0,228854571110.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,22.597.968.130,99.671.769.986,5.186.724.904,941.371.470,128.397.834.490,22597968130.0,99671769986.0,5186724904.0,941371470.0,128397834490.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,2.689.734.274,(2.689.734.274),-,-,-,2689734274.0,-2689734274.0,,,
Chuyển qua tài sản cố định vô hình,Nguyên giá > Chuyển qua tài sản cố định vô hình,Chuyển qua tài sản cố định vô hình,-,-,-,(72.900.000),(72.900.000),,,,-72900000.0,-72900000.0
Thanh lý/xóa sổ,Nguyên giá > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(8.495.611.069),(130.121.647.958),(5.683.276.588),(59.070.353.851),(203.370.889.466),-8495611069.0,-130121647958.0,-5683276588.0,-59070353851.0,-203370889466.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(290.938.177),-,-,(290.938.177),,-290938177.0,,,-290938177.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.395.207.990.163,13.028.756.501.186,970.631.275.429,583.699.540.364,16.978.295.307.142,2395207990163.0,13028756501186.0,970631275429.0,583699540364.0,16978295307142.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,846.396.138.515,6.366.582.398.734,499.532.745.383,453.328.830.989,8.165.840.113.621,846396138515.0,6366582398734.0,499532745383.0,453328830989.0,8165840113621.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,103.581.021.187,1.148.246.112.896,82.100.448.443,45.584.706.487,1.379.512.289.013,103581021187.0,1148246112896.0,82100448443.0,45584706487.0,1379512289013.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,1.013.131.341,(1.013.131.341),-,-,-,1013131341.0,-1013131341.0,,,
Chuyển qua tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển qua tài sản cố định vô hình,Chuyển qua tài sản cố định vô hình,-,-,-,(4.860.000),(4.860.000),,,,-4860000.0,-4860000.0
Thanh lý/xóa sổ,Giá trị hao mòn lũy kế > Thanh lý/xóa sổ,Thanh lý/xóa sổ,(7.351.089.112),(72.550.447.731),(4.054.727.355),(59.062.289.288),(143.018.553.486),-7351089112.0,-72550447731.0,-4054727355.0,-59062289288.0,-143018553486.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(240.548.432),-,-,(240.548.432),,-240548432.0,,,-240548432.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,943.639.201.931,7.441.024.384.126,577.578.466.471,439.846.388.188,9.402.088.440.716,943639201931.0,7441024384126.0,577578466471.0,439846388188.0,9402088440716.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.504.822.615.635,6.544.274.414.910,438.073.891.137,171.766.593.882,8.658.937.515.564,1504822615635.0,6544274414910.0,438073891137.0,171766593882.0,8658937515564.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.451.568.788.232,5.587.732.117.060,393.052.808.958,143.853.152.176,7.576.206.866.426,1451568788232.0,5587732117060.0,393052808958.0,143853152176.0,7576206866426.0
