row_label_raw,row_label_full,col_0,31/12/2020 > % vốnsở hữu vàquyềnbiểu quyết,31/12/2020 > Giá gốcVND,31/12/2020 > Giá trịhợp lýVND,31/12/2020 > Dự phònggiảm giáVND,1/1/2020 > % vốnsở hữu vàquyền biểu quyết,1/1/2020 > Giá gốcVND,1/1/2020 > Giá trịhợp lýVND,1/1/2020 > Dự phònggiảm giáVND,numeric__31/12/2020 > % vốnsở hữu vàquyềnbiểu quyết,numeric__31/12/2020 > Giá gốcVND,numeric__31/12/2020 > Giá trịhợp lýVND,numeric__31/12/2020 > Dự phònggiảm giáVND,numeric__1/1/2020 > % vốnsở hữu vàquyền biểu quyết,numeric__1/1/2020 > Giá gốcVND,numeric__1/1/2020 > Giá trịhợp lýVND,numeric__1/1/2020 > Dự phònggiảm giáVND
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,,,,,
▪ Miraka Holdings Limited,Đầu tư vào các công ty liên kết > ▪ Miraka Holdings Limited,▪ Miraka Holdings Limited,"22,81%",293.189.808.669,(*),-,"22,81%",293.189.808.669,(*),-,0.2281,293189808669.0,,,0.2281,293189808669.0,,
▪ Công ty Cổ phần APIS,Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần APIS,▪ Công ty Cổ phần APIS,"20,00%",20.350.000.000,(*),-,"20,00%",20.350.000.000,(*),-,0.2,20350000000.0,,,0.2,20350000000.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,Đầu tư vào các công ty liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu,▪ Công ty Cổ phần Chế biến Dừa Á Châu,"25,00%",86.830.000.000,(*),(7.620.478.814),"25,00%",86.830.000.000,(*),(6.223.314.946),0.25,86830000000.0,,-7620478814.0,0.25,86830000000.0,,-6223314946.0
,,,,400.369.808.669,,(7.620.478.814),,400.369.808.669,,(6.223.314.946),,400369808669.0,,-7620478814.0,,400369808669.0,,-6223314946.0
Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,Đầu tư góp vốn vào các đơn vị khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn,"14,71%",18.000.000.000,(*),-,"14,71%",18.000.000.000,(*),-,0.1471,18000000000.0,,,0.1471,18000000000.0,,
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Đầu tư góp vốn vào các đơn vị khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
,,,,18.300.000.000,,-,,18.300.000.000,,-,,18300000000.0,,,,18300000000.0,,
,,,,10.534.426.339.295,,(7.620.478.814),,10.027.856.515.307,,(7.821.464.614),,10534426339295.0,,-7620478814.0,,10027856515307.0,,-7821464614.0
