row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,17.416.877.930.000,(10.485.707.360),1.189.241.088.198,6.709.433.765.494,25.305.067.076.332,17416877930000.0,-10485707360.0,1189241088198.0,6709433765494.0,25305067076332.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,(1.159.248.760),-,-,(1.159.248.760),,-1159248760.0,,,-1159248760.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,10.085.159.996.024,10.085.159.996.024,,,,10085159996024.0,10085159996024.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,1.008.515.999.602,(1.008.515.999.602),-,,,1008515999602.0,-1008515999602.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(1.008.515.999.602),(1.008.515.999.602),,,,-1008515999602.0,-1008515999602.0
Cổ tức bằng tiền (Thuyết minh V.21),Cổ tức bằng tiền (Thuyết minh V.21),Cổ tức bằng tiền (Thuyết minh V.21),-,-,-,(7.836.220.609.500),(7.836.220.609.500),,,,-7836220609500.0,-7836220609500.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,17.416.877.930.000,(11.644.956.120),2.197.757.087.800,6.941.341.152.814,26.544.331.214.494,17416877930000.0,-11644956120.0,2197757087800.0,6941341152814.0,26544331214494.0
Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh V.20),Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh V.20),Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh V.20),3.482.676.520.000,-,-,(3.482.676.520.000),-,3482676520000.0,,,-3482676520000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,10.728.728.148.728,10.728.728.148.728,,,,10728728148728.0,10728728148728.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,1.072.872.814.872,(1.072.872.814.872),-,,,1072872814872.0,-1072872814872.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,(1.072.872.814.872),(1.072.872.814.872),,,,-1072872814872.0,-1072872814872.0
Cổ tức bằng tiền (Thuyết minh V.21),Cổ tức bằng tiền (Thuyết minh V.21),Cổ tức bằng tiền (Thuyết minh V.21),-,-,-,(6.094.821.929.000),(6.094.821.929.000),,,,-6094821929000.0,-6094821929000.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,20.899.554.450.000,(11.644.956.120),3.270.629.902.672,5.946.825.222.798,30.105.364.619.350,20899554450000.0,-11644956120.0,3270629902672.0,5946825222798.0,30105364619350.0
