row_label_raw,row_label_full,"Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phổ thông của Công ty mẹ (VND) > Trừ: Số tiền trích Quỹ khen thưởng, phúc lợi (VND)",Năm nay > 631.130.749.304 > 1.665.226.302,Năm trước(Trình bày lại) > 8.649.771.483.353 > 347.902.547.271,numeric__Năm nay > 631.130.749.304 > 1.665.226.302,numeric__Năm trước(Trình bày lại) > 8.649.771.483.353 > 347.902.547.271
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),629.465.523.002,8.301.868.936.082,629465523002.0,8301868936082.0
Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),3.100.499.616,3.100.499.616,3100499616.0,3100499616.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),203,2.678,203.0,2678.0
