row_label_raw,row_label_full,col_0,Sản phẩmlọc hóa đầu,Nhiên liệusinh học,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩmlọc hóa đầu,numeric__Nhiên liệusinh học,numeric__Sản xuất bao bì vàthương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,85.421.319.129.328,1.130.041.137.450,294.689.132.722,(251.388.405.090),86.594.660.994.410,85421319129328.0,1130041137450.0,294689132722.0,-251388405090.0,86594660994410.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,85.421.319.129.328,1.130.041.137.450,294.689.132.722,(251.388.405.090),86.594.660.994.410,85421319129328.0,1130041137450.0,294689132722.0,-251388405090.0,86594660994410.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,27.732.559.430.766,1.585.713.378.912,102.899.396.635,(95.206.958.279),29.325.965.248.034,27732559430766.0,1585713378912.0,102899396635.0,-95206958279.0,29325965248034.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,57.688.759.698.562,(455.672.241.462),191.789.736.087,(156.181.446.811),57.268.695.746.376,57688759698562.0,-455672241462.0,191789736087.0,-156181446811.0,57268695746376.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,85.421.319.129.328,1.130.041.137.450,294.689.132.722,(251.388.405.090),86.594.660.994.410,85421319129328.0,1130041137450.0,294689132722.0,-251388405090.0,86594660994410.0
