row_label_raw,row_label_full,col_0,Sản phẩmlọc hóa đầu,Nhiên liệusinh học,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩmlọc hóa đầu,numeric__Nhiên liệusinh học,numeric__Sản xuất bao bì vàthương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,88.352.140.328.065,-,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,,288529641675.0,-253802240942.0,88386867728798.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,88.352.140.328.065,-,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,,288529641675.0,-253802240942.0,88386867728798.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,32.860.681.385.594,-,96.086.706.642,(107.909.395.577),32.848.858.696.659,32860681385594.0,,96086706642.0,-107909395577.0,32848858696659.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,55.491.458.942.471,-,192.442.935.033,(145.892.845.365),55.538.009.032.139,55491458942471.0,,192442935033.0,-145892845365.0,55538009032139.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,88.352.140.328.065,-,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,,288529641675.0,-253802240942.0,88386867728798.0
