row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải, thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.952.278.849.575,39.523.167.241.310,210.933.174.619,584.666.460.767,406.831.128.413,47.677.876.854.684,6952278849575.0,39523167241310.0,210933174619.0,584666460767.0,406831128413.0,47677876854684.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,2.573.944.000,115.324.402.441,10.699.392.550,26.006.367.897,-,154.604.106.888,2573944000.0,115324402441.0,10699392550.0,26006367897.0,,154604106888.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,228.172.577.321,-,-,-,228.172.577.321,,228172577321.0,,,,228172577321.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.033.824.000),(2.196.095.334),-,-,(4.229.919.334),,-2033824000.0,-2196095334.0,,,-4229919334.0
Giảm do chấm dứt hợp nhất BSR-BF,NGUYÊN GIÁ > Giảm do chấm dứt hợp nhất BSR-BF,Giảm do chấm dứt hợp nhất BSR-BF,(449.058.000.000),(932.925.440.351),(7.420.198.100),(43.860.000),(406.090.460.501),(1.795.537.958.952),-449058000000.0,-932925440351.0,-7420198100.0,-43860000.0,-406090460501.0,-1795537958952.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.505.794.793.575,38.931.704.956.721,212.016.273.735,610.628.968.664,740.667.912,46.260.885.660.607,6505794793575.0,38931704956721.0,212016273735.0,610628968664.0,740667912.0,46260885660607.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.753.428.245.641,27.258.279.994.340,155.627.615.942,521.850.423.565,161.784.215.097,31.850.970.494.585,3753428245641.0,27258279994340.0,155627615942.0,521850423565.0,161784215097.0,31850970494585.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,205.509.645.876,1.895.477.958.588,13.070.907.571,23.066.440.893,6.623.943.500,2.143.748.896.428,205509645876.0,1895477958588.0,13070907571.0,23066440893.0,6623943500.0,2143748896428.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,-,79.108.781,-,79.108.781,,,,79108781.0,,79108781.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.033.824.000),(2.196.095.334),-,-,(4.229.919.334),,-2033824000.0,-2196095334.0,,,-4229919334.0
Giảm do chấm dứt hợp nhất BSR-BF,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do chấm dứt hợp nhất BSR-BF,Giảm do chấm dứt hợp nhất BSR-BF,(186.914.356.774),(387.641.817.356),(7.419.585.197),(43.860.000),(167.799.389.315),(749.819.008.642),-186914356774.0,-387641817356.0,-7419585197.0,-43860000.0,-167799389315.0,-749819008642.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.772.023.534.743,28.764.082.311.572,159.082.842.982,544.952.113.239,608.769.282,33.240.749.571.818,3772023534743.0,28764082311572.0,159082842982.0,544952113239.0,608769282.0,33240749571818.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.198.850.603.934,12.264.887.246.970,55.305.558.677,62.816.037.202,245.046.913.316,15.826.906.360.099,3198850603934.0,12264887246970.0,55305558677.0,62816037202.0,245046913316.0,15826906360099.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.733.771.258.832,10.167.622.645.149,52.933.430.753,65.676.855.425,131.898.630,13.020.136.088.789,2733771258832.0,10167622645149.0,52933430753.0,65676855425.0,131898630.0,13020136088789.0
