row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,105.385.797.629.326,95.396.377.675.905,,33.0,105385797629326.0,95396377675905.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(99.372.436.672.700),(93.407.413.272.657),,34.0,-99372436672700.0,-93407413272657.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(2.180.488.607.515),(2.165.547.068.085),,36.0,-2180488607515.0,-2165547068085.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,3.832.872.349.111,(176.582.664.837),,40.0,3832872349111.0,-176582664837.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,11.742.162.177.678,(6.377.306.412.410),,50.0,11742162177678.0,-6377306412410.0
,,,Tiền và tương đương tiền đầu năm,60,17.000.621.246.736,22.853.096.476.348,,60.0,17000621246736.0,22853096476348.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,252.207.175.416,524.831.182.798,,61.0,252207175416.0,524831182798.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,28.994.990.599.830,17.000.621.246.736,,70.0,28994990599830.0,17000621246736.0
Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Lê Thị Hồng Trâm Người lập biểu,Bạch Đức Long Kế toán trường,Nguyễn Việt Thắng Tông Giám đốc,Nguyễn Việt Thắng Tông Giám đốc,,,,
