row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Tài sản cố địnhvô hình khác,Tổng,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Tài sản cố địnhvô hình khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,438.606.719.617,503.268.345.012,32.703.172.505,974.578.237.134,438606719617.0,503268345012.0,32703172505.0,974578237134.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,15.171.269.600,-,15.171.269.600,,15171269600.0,,15171269600.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,-,13.383.488.350,-,13.383.488.350,,13383488350.0,,13383488350.0
Giảm do chấm dứthợp nhất BSR-BF,NGUYÊN GIÁ > Giảm do chấm dứthợp nhất BSR-BF,Giảm do chấm dứthợp nhất BSR-BF,-,(102.500.000),-,(102.500.000),,-102500000.0,,-102500000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,438.606.719.617,531.720.602.962,32.703.172.505,1.003.030.495.084,438606719617.0,531720602962.0,32703172505.0,1003030495084.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,339.397.906.316,361.076.406.807,29.596.260.701,730.070.573.824,339397906316.0,361076406807.0,29596260701.0,730070573824.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,15.481.495.021,61.075.176.534,479.502.245,77.036.173.800,15481495021.0,61075176534.0,479502245.0,77036173800.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,479.386.290,-,479.386.290,,479386290.0,,479386290.0
Giảm do chấm dứthợp nhất BSR-BF,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do chấm dứthợp nhất BSR-BF,Giảm do chấm dứthợp nhất BSR-BF,-,(102.500.000),-,(102.500.000),,-102500000.0,,-102500000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,354.879.401.337,422.528.469.631,30.075.762.946,807.483.633.914,354879401337.0,422528469631.0,30075762946.0,807483633914.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,99.208.813.301,142.191.938.205,3.106.911.804,244.507.663.310,99208813301.0,142191938205.0,3106911804.0,244507663310.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,83.727.318.280,109.192.133.331,2.627.409.559,195.546.861.170,83727318280.0,109192133331.0,2627409559.0,195546861170.0
