row_label_raw,row_label_full,col_0,Sản phẩm lọc hóa đầu,Nhiên liệu sinh học,Sản xuất bao bì và thương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩm lọc hóa đầu,numeric__Nhiên liệu sinh học,numeric__Sản xuất bao bì và thương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,147.381.684.099.848,3.528.942.281,727.301.689.547,(689.148.788.100),147.423.365.943.576,147381684099848.0,3528942281.0,727301689547.0,-689148788100.0,147423365943576.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,139.216.861.744.533,75.934.325.498,715.392.681.943,(688.752.407.819),139.319.436.344.155,139216861744533.0,75934325498.0,715392681943.0,-688752407819.0,139319436344155.0
- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,137.565.521.429.176,73.578.136.886,688.821.117.741,(664.082.764.844),137.663.837.918.959,137565521429176.0,73578136886.0,688821117741.0,-664082764844.0,137663837918959.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,1.027.620.437.609,-,4.491.517.220,-,1.032.111.954.829,1027620437609.0,,4491517220.0,,1032111954829.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,623.719.877.748,2.356.188.612,22.080.046.982,(24.669.642.975),623.486.470.367,623719877748.0,2356188612.0,22080046982.0,-24669642975.0,623486470367.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,8.164.822.355.315,(72.405.383.217),11.909.007.604,(396.380.281),8.103.929.599.421,8164822355315.0,-72405383217.0,11909007604.0,-396380281.0,8103929599421.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,2.652.368.561.043,,,,,2652368561043.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.154.774.797.936,,,,,1154774797936.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,37.811.659.713,,,,,37811659713.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,9.639.335.022.241,,,,,9639335022241.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,1.036.943.196.170,,,,,1036943196170.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,9.812.854.060,,,,,9812854060.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,8.592.578.972.011,,,,,8592578972011.0
