row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Phải trả người bán ngắn hạn không phải là bên liên quan,a. Phải trả người bán ngắn hạn không phải là bên liên quan,a. Phải trả người bán ngắn hạn không phải là bên liên quan,3.746.133.293.946,3.746.133.293.946,7.024.282.911.444,7.024.282.911.444,3746133293946.0,3746133293946.0,7024282911444.0,7024282911444.0
Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.784.626.083.477,1.784.626.083.477,1.214.427.432.270,1.214.427.432.270,1784626083477.0,1784626083477.0,1214427432270.0,1214427432270.0
Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,Công ty Điều hành chung Hoàng Long,908.054.254.302,908.054.254.302,1.050.987.900.855,1.050.987.900.855,908054254302.0,908054254302.0,1050987900855.0,1050987900855.0
Công ty TNHH Dầu khí Việt Nhật,Công ty TNHH Dầu khí Việt Nhật,Công ty TNHH Dầu khí Việt Nhật,382.986.611.407,382.986.611.407,844.776.948.044,844.776.948.044,382986611407.0,382986611407.0,844776948044.0,844776948044.0
Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,Công ty Điều hành chung Thăng Long,286.912.663.454,286.912.663.454,283.125.496.120,283.125.496.120,286912663454.0,286912663454.0,283125496120.0,283125496120.0
BCP Trading Pte. Ltd.,BCP Trading Pte. Ltd.,BCP Trading Pte. Ltd.,-,-,602.312.809.408,602.312.809.408,,,602312809408.0,602312809408.0
Novel Energy Trading Pte Ltd.,Novel Energy Trading Pte Ltd.,Novel Energy Trading Pte Ltd.,-,-,2.029.287.334.325,2.029.287.334.325,,,2029287334325.0,2029287334325.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,383.553.681.306,383.553.681.306,999.364.990.422,999.364.990.422,383553681306.0,383553681306.0,999364990422.0,999364990422.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 35),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 35),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 35),10.727.315.222.682,10.727.315.222.682,7.591.805.839.201,7.591.805.839.201,10727315222682.0,10727315222682.0,7591805839201.0,7591805839201.0
,,,14.473.448.516.628,14.473.448.516.628,14.616.088.750.645,14.616.088.750.645,14473448516628.0,14473448516628.0,14616088750645.0,14616088750645.0
