row_label_raw,row_label_full,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.899.330.020,2.395.416.385,numeric__Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,numeric__2.899.330.020,numeric__2.395.416.385
Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.498.968.454,2.061.211.000,,2498968454.0,2061211000.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên Hội đồng Quản trị kiểm Phó Tổng Giám Đốc,1.348.145.827,1.090.845.000,,1348145827.0,1090845000.0
Ông Võ ThờiBà Nguyễn Ngọc fiscal Nhi,Ông Võ ThờiBà Nguyễn Ngọc fiscal Nhi,Ông Võ ThờiBà Nguyễn Ngọc fiscal Nhi,Thành viên Hội đồng Quản trị(đến ngày 25 tháng 4 năm 2024),100.000.000,100.000.000,,100000000.0,100000000.0
Bà Võ Thị Vui,Bà Võ Thị Vui,Bà Võ Thị Vui,Trường Ban Kiểm soát(từ ngày 26 tháng 4 năm 2024),100.000.000,100.000.000,,100000000.0,100000000.0
Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Trường Ban Kiểm soát(đến ngày 25 tháng 4 năm 2024),503.513.879,378.717.294,,503513879.0,378717294.0
Ông Lê Nhật TânÔng Đăng Văn Hòa,Ông Lê Nhật TânÔng Đăng Văn Hòa,Ông Lê Nhật TânÔng Đăng Văn Hòa,Thành viên Ban Kiểm soátThành viên Ban Kiểm soát(từ ngày 26 tháng 4 năm 2024),147.487.722,298.803.293,,147487722.0,298803293.0
Ông Lê Nhật TânÔng Đăng Văn Hòa,Ông Lê Nhật TânÔng Đăng Văn Hòa,Ông Lê Nhật TânÔng Đăng Văn Hòa,Thành viên Ban Kiểm soátThành viên Ban Kiểm soát(từ ngày 26 tháng 4 năm 2024),340.074.574,295.868.230,,340074574.0,295868230.0
Các thành viên khác,Các thành viên khác,Các thành viên khác,Thành viên Ban Tổng Giám Đốc,187.780.984,-,,187780984.0,
,,,,8.276.897.450,6.492.562.764,,8276897450.0,6492562764.0
,,,,16.402.198.910,13.213.423.966,,16402198910.0,13213423966.0
