row_label_raw,row_label_full,Ông Nguyễn Vinh An - Phó Tổng Giám đốc,Ông Nguyễn Vinh An - Phó Tổng Giám đốc_1,Ông Nguyễn Vinh An - Phó Tổng Giám đốc_2,numeric__Ông Nguyễn Vinh An - Phó Tổng Giám đốc_1,numeric__Ông Nguyễn Vinh An - Phó Tổng Giám đốc_2
Tăng tạm ứng,Tăng tạm ứng,Tăng tạm ứng,-,20.000.000,,20000000.0
Hoàn ứng,Hoàn ứng,Hoàn ứng,-,(20.000.000),,-20000000.0
