row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,651.418.753.179,3.823.559.014.829,253.807.105.444,15.521.277.671,725.753.480,4.745.031.904.603,651418753179.0,3823559014829.0,253807105444.0,15521277671.0,725753480.0,4745031904603.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,5.116.718.741,7.341.995.181,-,-,12.458.713.922,,5116718741.0,7341995181.0,,,12458713922.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 13),-,20.287.405.354,-,-,-,20.287.405.354,,20287405354.0,,,,20287405354.0
Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),Nguyên giá > Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),-,41.899.309.383,-,-,-,41.899.309.383,,41899309383.0,,,,41899309383.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(3.101.946.764),-,-,(3.101.946.764),,,-3101946764.0,,,-3101946764.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,651.418.753.179,3.890.862.448.307,258.047.153.861,15.521.277.671,725.753.480,4.816.575.386.498,651418753179.0,3890862448307.0,258047153861.0,15521277671.0,725753480.0,4816575386498.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,369.026.417.972,2.406.040.784.245,138.269.202.205,10.603.377.305,510.746.172,2.924.450.527.899,369026417972.0,2406040784245.0,138269202205.0,10603377305.0,510746172.0,2924450527899.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,41.754.655.424,278.089.223.243,17.876.733.995,1.299.888.427,7.456.901,339.027.957.990,41754655424.0,278089223243.0,17876733995.0,1299888427.0,7456901.0,339027957990.0
Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),Giá trị khấu hao lũy kế > Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),Chuyển từ TSCĐ thuê tài chính(Thuyết minh 12(b)),-,4.607.967.429,-,-,-,4.607.967.429,,4607967429.0,,,,4607967429.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,-,(2.966.101.125),-,-,(2.966.101.125),,,-2966101125.0,,,-2966101125.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,410.781.073.396,2.688.737.974.917,153.179.835.075,11.903.265.732,518.203.073,3.265.120.352.193,410781073396.0,2688737974917.0,153179835075.0,11903265732.0,518203073.0,3265120352193.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,282.392.335.207,1.417.518.230.584,115.537.903.239,4.917.900.366,215.007.308,1.820.581.376.704,282392335207.0,1417518230584.0,115537903239.0,4917900366.0,215007308.0,1820581376704.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,240.637.679.783,1.202.124.473.390,104.867.318.786,3.618.011.939,207.550.407,1.551.455.034.305,240637679783.0,1202124473390.0,104867318786.0,3618011939.0,207550407.0,1551455034305.0
