row_label_raw,row_label_full,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_1,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_2,numeric__Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_1,numeric__Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_2
Tăng tạm ứng,Tăng tạm ứng,Tăng tạm ứng,1.023.900.000,632.812.621,1023900000.0,632812621.0
Hoàn ứng,Hoàn ứng,Hoàn ứng,(1.054.900.000),(830.324.621),-1054900000.0,-830324621.0
