row_label_raw,row_label_full,col_0,col_1,2024VND,2023VND,numeric__col_1,numeric__2024VND,numeric__2023VND
(i),(i),(i),Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,,,
(i),(i) > (i),(i),Công ty TNHH Một Thành viên Ông thép Nam Kim,946.500.692.100,1.069.764.148.688,,946500692100.0,1069764148688.0
(i),(i) > (i),(i),Công ty TNHH Tôn Nam Kim Phú Mỹ,734.558.188,-,,734558188.0,
(i),(i) > (i),(i),,947.235.250.288,1.069.764.148.688,,947235250288.0,1069764148688.0
(ii),(ii),(ii),Mua hàng hóa,Mua hàng hóa,Mua hàng hóa,,,
(ii),(ii) > (ii),(ii),Công ty TNHH Một Thành viên Ông thép Nam Kim,147.551.200,269.077.378,,147551200.0,269077378.0
(iii),(iii),(iii),Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,,,
(iii),(iii) > (iii),(iii),Công ty TNHH Tôn Nam Kim Phú Mỹ Cho vay (Thuyết minh 7),321.000.000.000,-,,321000000000.0,
(iii),(iii) > (iii),(iii),Lãi cho vay,3.334.763.014,-,,3334763014.0,
(iv),(iv),(iv),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,
(iv),(iv) > (iv),(iv),Công ty TNHH Tôn Nam Kim Phú Mỹ Đi vay,-,493.000.000.000,,,493000000000.0
(iv),(iv) > (iv),(iv),Trả nợ gốc vay,(483.000.000.000),(10.000.000.000),,-483000000000.0,-10000000000.0
(v),(v),(v),Góp vốn,Góp vốn,Góp vốn,,,
(v),(v) > (v),(v),Công ty TNHH Tôn Nam Kim Phú Mỹ,-,498.500.000.000,,,498500000000.0
