row_label_raw,row_label_full,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công Ty Cổ Phần Đầu Tư Thương Mại Cửu Long Hưng > Công ty Cổ phần Thương mại và Sản xuất Thái Bình > Khác > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,2024 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.282.773.749 > 1.455.478.000 > 7.528.240.146 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2024 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 1.139.386.874 > - > 3.575.014.147 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,2024 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 1.143.386.875 > 1.455.478.000 > 3.953.225.999 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2024 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 - 2 năm > Trên 3 năm > Từ 1 - 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm,numeric__2024 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 2.282.773.749 > 1.455.478.000 > 7.528.240.146 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2024 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 1.139.386.874 > - > 3.575.014.147 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,numeric__2024 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 1.143.386.875 > 1.455.478.000 > 3.953.225.999 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2024 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 - 2 năm > Trên 3 năm > Từ 1 - 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm
,,,13.042.626.334,4.714.401.021,8.328.225.313,,13042626334.0,4714401021.0,8328225313.0,
,,,2023,2023,2023,2023,2023.0,2023.0,2023.0,2023.0
,,,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Thời gian quá hạn,,,,
i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,,,,
Công ty Cổ phần Thương mại và Sản xuất Thái Bình,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty Cổ phần Thương mại và Sản xuất Thái Bình,Công ty Cổ phần Thương mại và Sản xuất Thái Bình,1.455.478.000,-,1.455.478.000,Trên 3 năm,1455478000.0,,1455478000.0,
Hộ Kinh Doanh Bùi Minh Thành,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Hộ Kinh Doanh Bùi Minh Thành,Hộ Kinh Doanh Bùi Minh Thành,1.300.000.000,-,1.300.000.000,Trên 3 năm,1300000000.0,,1300000000.0,
Khác,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Khác,Khác,2.980.194.580,63.989.643,2.916.204.937,Từ 2 nămđến trên 3 năm,2980194580.0,63989643.0,2916204937.0,
ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán,,,,
Công ty Liên Doanh Thép Nam Kim,ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,Công ty Liên Doanh Thép Nam Kim,1.776.134.439,-,1.776.134.439,Trên 3 năm,1776134439.0,,1776134439.0,
,,,7.511.807.019,63.989.643,7.447.817.376,,7511807019.0,63989643.0,7447817376.0,
