row_label_raw,row_label_full,col_0,"Máy móc, thiết bị VND","numeric__Máy móc, thiết bị VND"
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,41.899.309.383,41899309383.0
Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),Nguyên giá > Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),(41.899.309.383),-41899309383.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,4.539.091.852,4539091852.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,68.875.577,68875577.0
Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),Giá trị khấu hao lũy kế > Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),Chuyển sang TSCĐ hữu hình (Thuyết minh 12(a)),(4.607.967.429),-4607967429.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,37.360.217.531,37360217531.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,
