row_label_raw,row_label_full,Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị,Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_1,Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_2,numeric__Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_1,numeric__Ông Hồ Minh Quang - Chủ tịch Hội đồng Quản trị_2
Tăng tạm ứng,Tăng tạm ứng,Tăng tạm ứng,-,10.000.000.000,,10000000000.0
Hoàn ứng,Hoàn ứng,Hoàn ứng,(5.000.000.000),(20.000.000.000),-5000000000.0,-20000000000.0
