row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",8.500.470.341,5.424.941.725,8500470341.0,5424941725.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,178.452.654.840,179.211.811.638,178452654840.0,179211811638.0
"Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng","Chi phí công cụ, dụng cụ, đồ dùng",6.563.555.377,5.927.566.480,6563555377.0,5927566480.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,19.434.579.939,18.867.617.544,19434579939.0,18867617544.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",21.635.698.636,21.856.288.175,21635698636.0,21856288175.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,7.935.019.658,39.232.640.682,7935019658.0,39232640682.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,68.935.162.992,60.871.297.823,68935162992.0,60871297823.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,145.225.890.254,175.779.633.825,145225890254.0,175779633825.0
Trích quỹ phát triển khoa học công nghệ (35.1),Trích quỹ phát triển khoa học công nghệ (35.1),Trích quỹ phát triển khoa học công nghệ (35.1),45.000.000.000,62.000.000.000,45000000000.0,62000000000.0
,,,501.683.032.037,569.171.797.892,501683032037.0,569171797892.0
