row_label_raw,row_label_full,col_0,31/12/2018 > Giá gốc,31/12/2018 > Giá trị có thể thu hồi,01/01/2018 (Đã điều chỉnh) > Giá gốc,01/01/2018 (Đã điều chỉnh) > Giá trị có thể thu hồi,numeric__31/12/2018 > Giá gốc,numeric__31/12/2018 > Giá trị có thể thu hồi,numeric__01/01/2018 (Đã điều chỉnh) > Giá gốc,numeric__01/01/2018 (Đã điều chỉnh) > Giá trị có thể thu hồi
,,,VND,VND,VND,VND,,,,
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,7.050.353.887,932.395.668,18.638.923.517,1.336.398.652,7050353887.0,932395668.0,18638923517.0,1336398652.0
Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,9.245.889.258,-,9.245.889.258,-,9245889258.0,,9245889258.0,
Công ty Cổ phần Long Định,Công ty Cổ phần Long Định,Công ty Cổ phần Long Định,2.036.694.445,-,2.036.694.445,-,2036694445.0,,2036694445.0,
Công ty Đầu tư Sản xuất,Công ty Đầu tư Sản xuất,Công ty Đầu tư Sản xuất,1.579.191.158,-,1.579.191.158,-,1579191158.0,,1579191158.0,
Thương mại Xuất nhập khẩu Quảng Tây,Thương mại Xuất nhập khẩu Quảng Tây,Thương mại Xuất nhập khẩu Quảng Tây,,,,,,,,
Công ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,Thương mại Xuất nhập khẩu Quảng Tây > Công ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,Công ty TNHH Thương mại và Dịch vụ Nguyễn Dũng,1.133.430.600,-,1.133.430.600,-,1133430600.0,,1133430600.0,
Công ty TNHH Thanh Hải,Thương mại Xuất nhập khẩu Quảng Tây > Công ty TNHH Thanh Hải,Công ty TNHH Thanh Hải,3.185.308.482,-,3.185.308.482,-,3185308482.0,,3185308482.0,
Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,Thương mại Xuất nhập khẩu Quảng Tây > Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,Công ty Cổ phần Sản xuất và Thương mại Hoàng Phát,2.970.619.933,-,2.970.619.933,-,2970619933.0,,2970619933.0,
Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,Thương mại Xuất nhập khẩu Quảng Tây > Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,Công ty Cổ phần Thương mại và Đầu tư Đức Hùng,1.506.078.134,-,1.506.078.134,-,1506078134.0,,1506078134.0,
Công ty TNHH TLG Thăng Long,Thương mại Xuất nhập khẩu Quảng Tây > Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,6.197.848.091,-,5.075.387.336,-,6197848091.0,,5075387336.0,
Công ty Cổ phần Vietbuild,Thương mại Xuất nhập khẩu Quảng Tây > Công ty Cổ phần Vietbuild,Công ty Cổ phần Vietbuild,1.486.261.400,-,1.486.261.400,-,1486261400.0,,1486261400.0,
Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Thương mại Xuất nhập khẩu Quảng Tây > Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,1.466.381.999,733.190.999,1.466.381.999,733.191.000,1466381999.0,733190999.0,1466381999.0,733191000.0
Ông Trần Nguyễn Phúc Vũ,Thương mại Xuất nhập khẩu Quảng Tây > Ông Trần Nguyễn Phúc Vũ,Ông Trần Nguyễn Phúc Vũ,1.454.363.928,-,1.454.363.928,-,1454363928.0,,1454363928.0,
Keller Hcwgmbh,Thương mại Xuất nhập khẩu Quảng Tây > Keller Hcwgmbh,Keller Hcwgmbh,6.281.557.600,-,6.281.557.600,-,6281557600.0,,6281557600.0,
Các đối tượng nợ phải thu khác,Thương mại Xuất nhập khẩu Quảng Tây > Các đối tượng nợ phải thu khác,Các đối tượng nợ phải thu khác,161.952.962.598,18.017.296.408,143.653.043.870,17.714.503.228,161952962598.0,18017296408.0,143653043870.0,17714503228.0
,,,207.546.941.513,19.682.883.075,199.713.131.660,19.784.092.880,207546941513.0,19682883075.0,199713131660.0,19784092880.0
