row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,,,VND,VND,,,,
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,846.848.384.784,948.344.473.255,,,846848384784.0,948344473255.0
01,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Điều chỉnh cho các khoản,,561.932.399.577,584.571.826.092,,,561932399577.0,584571826092.0
02,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,- Khấu hao tài sản cố định và Bất động sản đầu tư,,493.438.985.575,453.939.664.882,,,493438985575.0,453939664882.0
03,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,- Các khoản dự phòng,,(18.089.624.615),39.464.348.406,,,-18089624615.0,39464348406.0
04,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,(538.595.320),553.536.958,,,-538595320.0,553536958.0
05,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,"- Lãi, lỗ từ hoạt động đầu tư",,(121.641.912.164),(121.425.869.845),,,-121641912164.0,-121425869845.0
06,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,- Chi phí lãi vay,,172.629.764.861,150.040.145.691,,,172629764861.0,150040145691.0
07,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,- Các khoản điều chỉnh khác,,36.133.781.240,62.000.000.000,,,36133781240.0,62000000000.0
08,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.408.780.784.361,1.532.916.299.347,,,1408780784361.0,1532916299347.0
09,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,"- Tăng, giảm các khoản phải thu",,185.043.746.678,(289.760.292.134),,,185043746678.0,-289760292134.0
10,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,"- Tăng, giảm hàng tồn kho",,37.198.758.616,(24.490.885.551),,,37198758616.0,-24490885551.0
11,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,317.216.965.023,642.546.916.328,,,317216965023.0,642546916328.0
12,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,"- Tăng, giảm chi phí trả trước",,15.575.752.873,(2.812.609.859),,,15575752873.0,-2812609859.0
14,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,- Tiền lãi vay đã trả,,(190.875.973.809),(150.033.030.707),,,-190875973809.0,-150033030707.0
15,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(186.044.475.799),(185.689.694.967),,,-186044475799.0,-185689694967.0
16,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 16,16,- Tiền thu khác từ hoạt động kinh doanh,,14.062.805.084,16.595.761.497,,,14062805084.0,16595761497.0
17,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(62.531.805.027),(54.550.232.394),,,-62531805027.0,-54550232394.0
20,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,1.538.426.558.000,1.484.722.231.560,,,1538426558000.0,1484722231560.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"1. Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",,(1.757.628.531.045),(1.652.715.545.036),,,-1757628531045.0,-1652715545036.0
22,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,6.246.515.999,11.660.835.722,,,6246515999.0,11660835722.0
23,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(134.185.745.486),(311.538.352.407),,,-134185745486.0,-311538352407.0
24,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,23.235.140.765,76.000.000.000,,,23235140765.0,76000000000.0
25,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(78.970.974.840),(350.099.225.336),,,-78970974840.0,-350099225336.0
26,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,45.500.000.000,30.045.961.704,,,45500000000.0,30045961704.0
27,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,108.230.250.268,94.561.310.147,,,108230250268.0,94561310147.0
30,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(1.787.573.344.339),(2.102.085.015.206),,,-1787573344339.0,-2102085015206.0
