row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.417.334.543.677,-,-,1.417.334.543.677,1417334543677.0,,,1417334543677.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2018 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",929.470.729.829,16.167.938.416,-,945.638.668.245,929470729829.0,16167938416.0,,945638668245.0
Các khoản cho vay,Tại ngày 31/12/2018 > Các khoản cho vay,Các khoản cho vay,358.568.957.128,102.300.000,-,358.671.257.128,358568957128.0,102300000.0,,358671257128.0
Cộng,Tại ngày 31/12/2018 > Cộng,Cộng,2.705.374.230.634,16.270.238.416,-,2.721.644.469.050,2705374230634.0,16270238416.0,,2721644469050.0
Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),Tại ngày 01/01/2018 (Đã điều chỉnh),,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2018 (Đã điều chỉnh) > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.165.665.339.498,-,-,2.165.665.339.498,2165665339498.0,,,2165665339498.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2018 (Đã điều chỉnh) > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.144.429.104.583,197.271.999.836,-,1.341.701.104.419,1144429104583.0,197271999836.0,,1341701104419.0
Các khoản cho vay,Tại ngày 01/01/2018 (Đã điều chỉnh) > Các khoản cho vay,Các khoản cho vay,247.638.352.407,82.300.000,-,247.720.652.407,247638352407.0,82300000.0,,247720652407.0
Cộng,Tại ngày 01/01/2018 (Đã điều chỉnh) > Cộng,Cộng,3.557.732.796.488,197.354.299.836,-,3.755.087.096.324,3557732796488.0,197354299836.0,,3755087096324.0
