row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2018,01/01/2018(Đã điều chỉnh),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/01/2018(Đã điều chỉnh)
,,,,,VND,VND,,,,
200,200,200,B. TÀI SẢN DÀI HẠN,,10.602.133.583.666,9.261.204.007.582,,,10602133583666.0,9261204007582.0
210,210,210,I. Các khoản phải thu dài hạn,,186.125.648.306,197.271.999.836,,,186125648306.0,197271999836.0
216,216,216,1. Phải thu dài hạn khác,8,186.125.648.306,197.271.999.836,,8.0,186125648306.0,197271999836.0
220,220,220,II . Tài sản cố định,,3.974.573.316.191,3.739.380.773.069,,,3974573316191.0,3739380773069.0
221,221,221,1. Tài sản cố định hữu hình,12,3.680.879.204.234,3.460.106.230.249,,12.0,3680879204234.0,3460106230249.0
222,222,222,- Nguyên giá,,8.213.173.375.978,7.610.927.442.691,,,8213173375978.0,7610927442691.0
223,223,223,- Giá trị hao mòn luỹ kế,,(4.532.294.171.744),(4.150.821.212.442),,,-4532294171744.0,-4150821212442.0
224,224,224,2. Tài sản cố định thuê tài chính,13,127.275.130.188,122.953.975.444,,13.0,127275130188.0,122953975444.0
225,225,225,- Nguyên giá,,167.887.372.122,148.930.428.981,,,167887372122.0,148930428981.0
226,226,226,- Giá trị hao mòn luỹ kế,,(40.612.241.934),(25.976.453.537),,,-40612241934.0,-25976453537.0
227,227,227,3. Tài sản cố định vô hình,14,166.418.981.769,156.320.567.376,,14.0,166418981769.0,156320567376.0
228,228,228,- Nguyên giá,,201.587.427.802,187.645.149.869,,,201587427802.0,187645149869.0
229,229,229,- Giá trị hao mòn luỹ kế,,(35.168.446.033),(31.324.582.493),,,-35168446033.0,-31324582493.0
230,230,230,III. Bất động sản đầu tư,15,3.293.314.882.298,2.860.760.478.540,,15.0,3293314882298.0,2860760478540.0
231,231,231,- Nguyên giá,,3.889.644.755.912,3.362.210.752.078,,,3889644755912.0,3362210752078.0
232,232,232,- Giá trị hao mòn luỹ kế,,(596.329.873.614),(501.450.273.538),,,-596329873614.0,-501450273538.0
240,240,240,IV. Tài sản dở dang dài hạn,,2.007.869.751.782,1.454.288.346.772,,,2007869751782.0,1454288346772.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,16,2.007.869.751.782,1.454.288.346.772,,16.0,2007869751782.0,1454288346772.0
250,250,250,V. Đầu tư tài chính dài hạn,4,772.653.679.179,733.694.075.147,,4.0,772653679179.0,733694075147.0
252,252,252,"1. Đầu tư vào công ty liên doanh, liên kết",,764.143.387.038,730.512.296.830,,,764143387038.0,730512296830.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,,9.332.682.344,4.452.682.344,,,9332682344.0,4452682344.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,,(924.690.203),(1.353.204.027),,,-924690203.0,-1353204027.0
255,255,255,4. Đầu tư nấm giữ đến ngày đáo hạn,,102.300.000,82.300.000,,,102300000.0,82300000.0
260,260,260,VI. Tài sản dài hạn khác,,367.596.305.910,275.808.334.218,,,367596305910.0,275808334218.0
261,261,261,1. Chi phí trả trước dài hạn,11,363.327.012.881,271.421.824.882,,11.0,363327012881.0,271421824882.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,39,4.269.293.029,4.386.509.336,,39.0,4269293029.0,4386509336.0
270,270,270,TỔNG CỘNG TÀI SẢN,,16.533.191.747.045,16.092.921.442.842,,,16533191747045.0,16092921442842.0
