row_label_raw,row_label_full,a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,31/12/2018 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,31/12/2018 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,01/01/2018 (Đã điều chỉnh) > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,01/01/2018 (Đã điều chỉnh) > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__31/12/2018 > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__31/12/2018 > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__01/01/2018 (Đã điều chỉnh) > Giá trịVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn,numeric__01/01/2018 (Đã điều chỉnh) > Dự phòngVND > a) Phải thu của khách hàng chi tiết theo nội dung có số dư lớn
"- Khách hàng thuê,mua nhà","- Khách hàng thuê,mua nhà","- Khách hàng thuê,mua nhà",290.593.772.135,-,346.846.966.660,-,290593772135.0,,346846966660.0,
"- Khách hàng thuêhạ tầng KCN, nhàxưởng","- Khách hàng thuêhạ tầng KCN, nhàxưởng","- Khách hàng thuêhạ tầng KCN, nhàxưởng",107.038.507.367,(9.180.827.381),244.685.820.251,-,107038507367.0,-9180827381.0,244685820251.0,
- Các khoản phải thukhách hàng khác,- Các khoản phải thukhách hàng khác,- Các khoản phải thukhách hàng khác,515.566.636.949,(135.047.137.361),468.684.940.486,(149.214.592.572),515566636949.0,-135047137361.0,468684940486.0,-149214592572.0
,,,913.198.916.451,(144.227.964.742),1.060.217.727.397,(149.214.592.572),913198916451.0,-144227964742.0,1060217727397.0,-149214592572.0
b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,b) Phải thu của khách hàng là,,,,
bên liên quan(Xem thông tin chi tiết tại Thuyết minh 47),b) Phải thu của khách hàng là > bên liên quan(Xem thông tin chi tiết tại Thuyết minh 47),bên liên quan(Xem thông tin chi tiết tại Thuyết minh 47),11.016.044.091,-,27.004.815.590,-,11016044091.0,,27004815590.0,
