row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm Kính, Sử, Servòi, Phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toàn Doanh nghiệp,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm Kính, Sử, Servòi, Phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toàn Doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,1.673.291.780.868,2.085.761.374.707,2.639.959.513.275,2.196.818.459.029,216.264.445.874,-,8.812.095.573.753,1673291780868.0,2085761374707.0,2639959513275.0,2196818459029.0,216264445874.0,,8812095573753.0
Giá vốn của hàng bán,Giá vốn của hàng bán,Giá vốn của hàng bán,1.076.511.354.232,1.621.100.274.565,2.061.678.655.635,1.845.847.255.151,162.776.695.719,-,6.767.914.235.302,1076511354232.0,1621100274565.0,2061678655635.0,1845847255151.0,162776695719.0,,6767914235302.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,596.780.426.636,464.661.100.142,578.280.857.640,350.971.203.878,53.487.750.155,-,2.044.181.338.451,596780426636.0,464661100142.0,578280857640.0,350971203878.0,53487750155.0,,2044181338451.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,1.169.769.192.740,321.319.355.843,41.931.877.763,76.543.622.108,94.943.218.731,-,1.704.507.267.185,1169769192740.0,321319355843.0,41931877763.0,76543622108.0,94943218731.0,,1704507267185.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,12.739.205.057.654,3.278.606.511.330,2.132.880.989.390,1.428.276.549.469,489.810.964.134,(4.308.242.004.111),15.760.538.067.866,12739205057654.0,3278606511330.0,2132880989390.0,1428276549469.0,489810964134.0,-4308242004111.0,15760538067866.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,772.653.679.179,,,,,,,772653679179.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,12.739.205.057.654,3.278.606.511.330,2.132.880.989.390,1.428.276.549.469,489.810.964.134,(4.308.242.004.111),16.533.191.747.045,12739205057654.0,3278606511330.0,2132880989390.0,1428276549469.0,489810964134.0,-4308242004111.0,16533191747045.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,8.271.725.264.495,2.796.354.773.291,1.695.506.464.219,750.636.875.338,273.987.587.205,(4.126.938.412.042),9.661.272.552.506,8271725264495.0,2796354773291.0,1695506464219.0,750636875338.0,273987587205.0,-4126938412042.0,9661272552506.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,8.271.725.264.495,2.796.354.773.291,1.695.506.464.219,750.636.875.338,273.987.587.205,(4.126.938.412.042),9.661.272.552.506,8271725264495.0,2796354773291.0,1695506464219.0,750636875338.0,273987587205.0,-4126938412042.0,9661272552506.0
