row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017(Đã điều chỉnh),numeric__Năm 2018,numeric__Năm 2017(Đã điều chỉnh)
,,,VND,VND,,
Công ty mẹ,Công ty mẹ,Công ty mẹ,103.526.067.378,101.109.864.759,103526067378.0,101109864759.0
Công ty Cổ phần Viglacera Thăng Long,Công ty Cổ phần Viglacera Thăng Long,Công ty Cổ phần Viglacera Thăng Long,4.278.897.158,5.812.855.118,4278897158.0,5812855118.0
Công ty Cổ phần Bao bì và má phanh Viglacera,Công ty Cổ phần Bao bì và má phanh Viglacera,Công ty Cổ phần Bao bì và má phanh Viglacera,309.185.532,8.538.640,309185532.0,8538640.0
Công ty Cổ phần Viglacera Đông Anh,Công ty Cổ phần Viglacera Đông Anh,Công ty Cổ phần Viglacera Đông Anh,98.150.843,171.518.112,98150843.0,171518112.0
Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,Công ty Cổ phần Tư vấn Viglacera,75.825.776,150.859.346,75825776.0,150859346.0
Công ty Cổ phần Việt Trì Viglacera,Công ty Cổ phần Việt Trì Viglacera,Công ty Cổ phần Việt Trì Viglacera,6.842.186.159,5.300.116.608,6842186159.0,5300116608.0
Công ty Cổ phần Viglacera Hữu Hưng,Công ty Cổ phần Viglacera Hữu Hưng,Công ty Cổ phần Viglacera Hữu Hưng,5.630.527,584.373.605,5630527.0,584373605.0
Công ty Cổ phần Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn,11.140.332.729,13.560.069.332,11140332729.0,13560069332.0
Công ty Cổ phần Thương mại Viglacera,Công ty Cổ phần Thương mại Viglacera,Công ty Cổ phần Thương mại Viglacera,1.730.163.136,2.722.304.110,1730163136.0,2722304110.0
Công ty Cổ phần Viglacera Vân Hải,Công ty Cổ phần Viglacera Vân Hải,Công ty Cổ phần Viglacera Vân Hải,1.549.262.598,553.257.211,1549262598.0,553257211.0
Công ty Cổ phần Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera,1.284.924.932,581.186.216,1284924932.0,581186216.0
Công ty Cổ phần Sử Viglacera Thanh Trì,Công ty Cổ phần Sử Viglacera Thanh Trì,Công ty Cổ phần Sử Viglacera Thanh Trì,6.237.052.565,3.984.436.342,6237052565.0,3984436342.0
Công ty Cổ phần Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long,Công ty Cổ phần Viglacera Hạ Long,36.048.902.636,32.596.912.558,36048902636.0,32596912558.0
Công ty Cổ phần Viglacera Hà Nội,Công ty Cổ phần Viglacera Hà Nội,Công ty Cổ phần Viglacera Hà Nội,2.767.593.014,5.237.972.695,2767593014.0,5237972695.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,2.385.089,35.911.773,2385089.0,35911773.0
Công ty Cổ phần Kinh doanh Gạch Óp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch Óp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch Óp lát Viglacera,476.144.902,1.895.744.891,476144902.0,1895744891.0
Công ty TNHH MTV Lắp dựng Kính Viglacera,Công ty TNHH MTV Lắp dựng Kính Viglacera,Công ty TNHH MTV Lắp dựng Kính Viglacera,342.803.411,315.183.499,342803411.0,315183499.0
,,,176.715.508.385,174.621.104.815,176715508385.0,174621104815.0
