row_label_raw,row_label_full,col_0,Loại tichen vay,Lãi suất năm,đáo hạn,Hình thức dam bao,VND,VND_1,numeric__Loại tichen vay,numeric__Lãi suất năm,numeric__đáo hạn,numeric__Hình thức dam bao,numeric__VND,numeric__VND_1
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,767.829.280.611,884.695.802.669,,,,,767829280611.0,884695802669.0
- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,VND,Điều chỉnh theo thời kỳ,Từ 2019 đến 2022,Thế chấp bằng tài sản,205.910.371.013,255.774.115.972,,,,,205910371013.0,255774115972.0
- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,- Ngân hàng TMCP Ngoại thương Việt Nam,VND,Điều chỉnh theo thời kỳ,Từ 2019 đến 2025,Thế chấp bằng tài sản,117.386.608.988,145.404.525.936,,,,,117386608988.0,145404525936.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Theo thời điểm nhận nợ,Từ 2019 đến 2021,Thế chấp bằng tài sản,17.270.506.484,25.431.067.705,,,,,17270506484.0,25431067705.0
- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,- Ngân hàng Phát triển Việt Nam,VND,"8,5%",2027,Thế chấp bằng tài sản,237.745.615.719,232.300.533.598,,0.085,2027.0,,237745615719.0,232300533598.0
- Ngân hàng TMCP Sài Gòn - Hà Nội,- Ngân hàng TMCP Sài Gòn - Hà Nội,- Ngân hàng TMCP Sài Gòn - Hà Nội,VND,Điều chỉnh theo thời kỳ,2021,Thế chấp bằng tài sản,16.391.112.816,35.969.282.422,,,2021.0,,16391112816.0,35969282422.0
- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,- Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,VND,Theo thời điểm nhận nợ và điều chỉnh,Từ 2019 đến 2023,Thế chấp bằng tài sản,67.924.535.009,71.889.719.977,,,,,67924535009.0,71889719977.0
- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,VND,Điều chỉnh theo thời kỳ,2018,Thế chấp bằng tài sản,-,2.184.523.237,,,2018.0,,,2184523237.0
- Quỹ Bảo vệ Môi trường,- Quỹ Bảo vệ Môi trường,- Quỹ Bảo vệ Môi trường,VND,"Từ 3,6% đến 5,4%",84 tháng,Chứng thư bảo lãnh,6.120.000.000,8.860.000.000,,,,,6120000000.0,8860000000.0
- Nợ lãi vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Nợ lãi vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Nợ lãi vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,Điều chỉnh theo thời kỳ,"10 năm, bắt đầu trả từ 2011",Thế chấp bằng tài sản,27.097.802.893,33.875.655.612,,,,,27097802893.0,33875655612.0
