row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
đầu năm trước,đầu năm trước,đầu năm trước,3.070.000.000.000,120.425.969.561,21.824.042.505,(149.876.239),(211.681.407.015),91.436.312.355,6.603.291.499,741.287.274.365,414.435.843.316,46.000.000.000,4.300.181.450.347,3070000000000.0,120425969561.0,21824042505.0,-149876239.0,-211681407015.0,91436312355.0,6603291499.0,741287274365.0,414435843316.0,46000000000.0,4300181450347.0
vốn trong năm trước,vốn trong năm trước,vốn trong năm trước,1.413.500.000.000,793.050.209.317,-,-,-,-,-,-,-,-,2.206.550.209.317,1413500000000.0,793050209317.0,,,,,,,,,2206550209317.0
m ng năm trước,m ng năm trước,m ng năm trước,-,-,-,-,-,-,-,623.892.550.371,124.658.934.937,-,748.551.485.308,,,,,,,,623892550371.0,124658934937.0,,748551485308.0
ty con dùng các quỹ bù đắp lỗ,ty con dùng các quỹ bù đắp lỗ,ty con dùng các quỹ bù đắp lỗ,-,-,-,-,-,(692.105.827),-,692.105.827,-,-,-,,,,,,-692105827.0,,692105827.0,,,
ố tức,ố tức,ố tức,-,-,-,-,-,-,-,(405.650.000.000),(108.183.224.277),-,(513.833.224.277),,,,,,,,-405650000000.0,-108183224277.0,,-513833224277.0
lập quỹ đầu tư phát triển,lập quỹ đầu tư phát triển,lập quỹ đầu tư phát triển,-,-,-,-,-,104.104.475.411,-,(104.104.475.411),-,-,-,,,,,,104104475411.0,,-104104475411.0,,,
lập quỹ khen thưởng phúc lợi,lập quỹ khen thưởng phúc lợi,lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(66.197.744.798),(24.812.752.437),-,(91.010.497.235),,,,,,,,-66197744798.0,-24812752437.0,,-91010497235.0
chác,chác,chác,-,-,-,-,-,-,-,1.376.211.505,-,-,1.376.211.505,,,,,,,,1376211505.0,,,1376211505.0
ù lao của Hội đồng quản trị,ù lao của Hội đồng quản trị,ù lao của Hội đồng quản trị,-,-,-,-,-,-,-,(1.848.370.198),(1.131.639.062),-,(2.980.009.260),,,,,,,,-1848370198.0,-1131639062.0,,-2980009260.0
ỗ không phải gánh chịu tại y liên kết,ỗ không phải gánh chịu tại y liên kết,ỗ không phải gánh chịu tại y liên kết,-,-,-,-,-,-,-,14.944.354.648,-,-,14.944.354.648,,,,,,,,14944354648.0,,,14944354648.0
do Công ty con điều chỉnh hồi nhuận các năm trước,do Công ty con điều chỉnh hồi nhuận các năm trước,do Công ty con điều chỉnh hồi nhuận các năm trước,-,-,-,-,-,-,-,(15.318.995.176),(14.746.750.831),-,(30.065.746.007),,,,,,,,-15318995176.0,-14746750831.0,,-30065746007.0
uyền nguồn vốn đối với công lãi hoàn thành,uyền nguồn vốn đối với công lãi hoàn thành,uyền nguồn vốn đối với công lãi hoàn thành,-,-,-,-,-,-,-,-,-,(46.000.000.000),(46.000.000.000),,,,,,,,,,-46000000000.0,-46000000000.0
khác,khác,khác,-,-,-,-,-,-,-,(197.619.752),(808.595.428),-,(1.006.215.180),,,,,,,,-197619752.0,-808595428.0,,-1006215180.0
ng ty con thay đổi vốn góp,ng ty con thay đổi vốn góp,ng ty con thay đổi vốn góp,-,-,-,-,-,(12.871.931),(4.480.108),(37.263.983),68.216.812.150,-,68.162.196.128,,,,,,-12871931.0,-4480108.0,-37263983.0,68216812150.0,,68162196128.0
oài vốn tại công ty con,oài vốn tại công ty con,oài vốn tại công ty con,-,-,-,-,-,-,-,-,27.174.177.536,-,27.174.177.536,,,,,,,,,27174177536.0,,27174177536.0
