row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm(Đã điều chỉnh),Số phải nộptrong năm,Số đã thực nộptrong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm(Đã điều chỉnh),numeric__Số phải nộptrong năm,numeric__Số đã thực nộptrong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.217.864.363,51.072.543.239,236.652.898.173,252.507.903.293,1.362.636.560,29.362.310.316,7217864363.0,51072543239.0,236652898173.0,252507903293.0,1362636560.0,29362310316.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",186.406.329,761.775,5.948.036.154,5.836.351.035,73.959.435,-,186406329.0,761775.0,5948036154.0,5836351035.0,73959435.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,604.624.036,75.049.785.679,183.927.168.724,186.044.475.799,680.156.444,73.008.011.012,604624036.0,75049785679.0,183927168724.0,186044475799.0,680156444.0,73008011012.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,348.772.596,9.027.870.304,23.597.522.232,21.690.487.377,15.463.829,10.601.596.392,348772596.0,9027870304.0,23597522232.0,21690487377.0,15463829.0,10601596392.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,1.157.474.312,2.426.767.971,18.905.854.022,19.874.215.366,540.291.763,841.224.078,1157474312.0,2426767971.0,18905854022.0,19874215366.0,540291763.0,841224078.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,250.908.838,16.090.842.319,165.470.146.860,177.071.345.254,603.390.609,4.842.125.696,250908838.0,16090842319.0,165470146860.0,177071345254.0,603390609.0,4842125696.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,226.480.218,34.511.263.305,15.432.466.130,29.292.193.669,243.996.400,20.669.051.948,226480218.0,34511263305.0,15432466130.0,29292193669.0,243996400.0,20669051948.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",404.686.604,63.799.779.975,14.549.975.516,20.138.880.858,296.634.510,58.102.822.539,404686604.0,63799779975.0,14549975516.0,20138880858.0,296634510.0,58102822539.0
,,,10.397.217.296,251.979.614.567,664.484.067.811,712.455.852.651,3.816.529.550,197.427.141.981,10397217296.0,251979614567.0,664484067811.0,712455852651.0,3816529550.0,197427141981.0
