row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lạiVND,Đã trình bày trên báo cáo năm trướcVND,numeric__Mã số,numeric__Đã điều chỉnh lạiVND,numeric__Đã trình bày trên báo cáo năm trướcVND
c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất,,,
Lợi nhuận trước thuế,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,948.344.473.255,913.809.753.294,1.0,948344473255.0,913809753294.0
Khấu hao tài sản cố định và Bất động sản đầu tư,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Khấu hao tài sản cố định và Bất động sản đầu tư,Khấu hao tài sản cố định và Bất động sản đầu tư,02,453.939.664.882,453.713.459.828,2.0,453939664882.0,453713459828.0
Các khoản dự phòng,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Các khoản dự phòng,Các khoản dự phòng,03,39.464.348.406,47.358.176.683,3.0,39464348406.0,47358176683.0
Chi phí lãi vay,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Chi phí lãi vay,Chi phí lãi vay,06,212.040.145.691,212.895.145.691,6.0,212040145691.0,212895145691.0
"Tăng, giảm các khoản phải thu","c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,(289.760.292.134),(254.835.198.076),9.0,-289760292134.0,-254835198076.0
"Tăng, giảm hàng tồn kho","c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,(24.490.885.551),(11.311.290.093),10.0,-24490885551.0,-11311290093.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,642.546.916.328,615.161.620.097,11.0,642546916328.0,615161620097.0
"Tăng, giảm chi phí trả trước","c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,(2.812.609.859),836.925.759,12.0,-2812609859.0,836925759.0
Thuế thu nhập doanh nghiệp đã nộp,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,16.595.761.497,16.435.424.000,15.0,16595761497.0,16435424000.0
Tiền thu khác từ hoạt động kinh doanh,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,(54.550.232.394),(54.304.189.098),16.0,-54550232394.0,-54304189098.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.484.722.231.560,1.483.164.769.524,20.0,1484722231560.0,1483164769524.0
"Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi để mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,(1.652.715.545.036),(1.651.158.083.000),21.0,-1652715545036.0,-1651158083000.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,c/ Báo cáo Lưu chuyển tiền tệ hợp nhất > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(2.102.085.015.206),(2.100.527.553.170),30.0,-2102085015206.0,-2100527553170.0
