row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,01/01/2018 (Đã điều chỉnh) > Giá trị,01/01/2018 (Đã điều chỉnh) > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__01/01/2018 (Đã điều chỉnh) > Giá trị,numeric__01/01/2018 (Đã điều chỉnh) > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,,,,
- Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),- Chi nhánh Xăng dầu Bắc Ninh (Petrolimex Bắc Ninh),40.860.185.951,40.860.185.951,42.001.351.761,42.001.351.761,40860185951.0,40860185951.0,42001351761.0,42001351761.0
- Công ty Cổ phần Dương Đông - Sài Gòn,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Dương Đông - Sài Gòn,- Công ty Cổ phần Dương Đông - Sài Gòn,28.917.137.796,28.917.137.796,23.460.673.060,23.460.673.060,28917137796.0,28917137796.0,23460673060.0,23460673060.0
- Công ty TNHH Khoáng sản Hòa Phát Phú Thọ,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Khoáng sản Hòa Phát Phú Thọ,- Công ty TNHH Khoáng sản Hòa Phát Phú Thọ,15.198.614.497,15.198.614.497,-,-,15198614497.0,15198614497.0,,
- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,- Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,16.590.286.442,16.590.286.442,18.657.114.185,18.657.114.185,16590286442.0,16590286442.0,18657114185.0,18657114185.0
- Công ty TNHH MTV Cát Cam Ranh FICO,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH MTV Cát Cam Ranh FICO,- Công ty TNHH MTV Cát Cam Ranh FICO,7.765.375.420,7.765.375.420,15.617.772.853,15.617.772.853,7765375420.0,7765375420.0,15617772853.0,15617772853.0
- Công ty TNHH Xây dựng Thương mại và Dịch vụ Nam Thắng,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Xây dựng Thương mại và Dịch vụ Nam Thắng,- Công ty TNHH Xây dựng Thương mại và Dịch vụ Nam Thắng,10.820.789.557,10.820.789.557,6.640.811,6.640.811,10820789557.0,10820789557.0,6640811.0,6640811.0
- Colorobbia Espana S.A.,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Colorobbia Espana S.A.,- Colorobbia Espana S.A.,979.743.653,979.743.653,13.037.908.702,13.037.908.702,979743653.0,979743653.0,13037908702.0,13037908702.0
- Công ty TNHH Hoàn Cường,a) Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > - Công ty TNHH Hoàn Cường,- Công ty TNHH Hoàn Cường,7.908.638.527,7.908.638.527,11.255.518.212,11.255.518.212,7908638527.0,7908638527.0,11255518212.0,11255518212.0
